avilist_id,reason,reference,exotic_status
avibase-8CC7216A,Restored from the 2019.1 Kenya checklist as a curated checklist addition,https://avibase.bsc-eoc.org/species.jsp?avibaseid=8CC7216A,native
avibase-E1EE00F7,Restored from the 2019.1 Kenya checklist as a curated checklist addition,https://avibase.bsc-eoc.org/species.jsp?avibaseid=E1EE00F7,naturalized
avibase-4396F4F1,Restored from the 2019.1 Kenya checklist as a curated checklist addition,https://avibase.bsc-eoc.org/species.jsp?avibaseid=4396F4F1,naturalized
avibase-67200E8E,Added following the accepted EARC national-list decision,https://www.ajol.info/index.php/scopus/article/view/139746,native
avibase-00DA9D91,Added following the accepted EARC national-list decision,https://www.ajol.info/index.php/scopus/article/view/108247,native
avibase-4B21F4D8,Added following the accepted EARC national-list decision,https://www.ajol.info/index.php/scopus/article/view/308564,native
