avibase_id,AM,AMR,E,IO,MM,N,NR,OM,PM,PMR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,ES
avibase-26A34DA5,,TRUE,,,,,,,,,,,,,,,,,
avibase-FF41B79F,,,,,,,,TRUE,TRUE,,,,,,,,,,
avibase-66931B3F,TRUE,,,,,,,,,,,,,,,,,,
avibase-C2E0717C,,,,,TRUE,,,,,,,,,,,,,,
avibase-B3D2C3C5,,,,,,,,,TRUE,,,,,,,,,,
avibase-F5DE9155,,,,,,,,,,,,,,,,,,,
avibase-8B6EA5FA,,,,,,,,,,,,,,,,,,,
avibase-70AFED2C,,,,,,,,,,,,,,,,,,,
avibase-F3715F7B,,,,,,,,,,,,,,,,,,,
avibase-461482EA,,,,,,,,,,,,,,,,,,,
avibase-B2D6AB06,,,,,,,,,,,,,,,,,,,
avibase-EE40DDB6,,,,,,,,,,,,,,,,,,,
avibase-5788552B,,,,,,,,,,,,,,,,,TRUE,,
avibase-8770C6A7,,,,,,,,,,,,,,,,,,,
avibase-DDEF7228,,,,,,,,,,,,,,,,,,,
avibase-AB937AEB,,,,,,,,,,,,,,,,,,,
avibase-9888B3AE,,,,,,,,,,,,,,,,,,,
avibase-70BD722B,,,,,,,,,,,,,,,,,,,
avibase-65FE8029,,,,,,,,,,,,,,,,,,,
avibase-870E4DDA,,,,,,,,,,,,,,,,,,,
avibase-EEDB8253,,,,,,,,,,,,,,,,,,,
avibase-A6EA9F02,,,,,,,,,,,,,,,,,,,
avibase-BBA263C2,,,,,,,,,,,,,,,,,,,
avibase-DDC2CC92,,,,,,,,,,,,,,,,,,,
avibase-7308278F,,,,,,,,,,,,,,,,,,,
avibase-23D5FC36,,,,,,,,,,,,,,,,,,,
avibase-BDF442F2,,,,,,,,,,,,,,,,,,,
avibase-46C90944,,,,,,,,,,,,,,,,,,,
avibase-00146574,,,,,,,,,,,,,,,,,,,
avibase-D10CAC5D,,,,,,,,,,,,,,,,,,,
avibase-31413BFF,,,,,,,,,,,,,,,,,,,
avibase-64DDD14D,,,,,,,,,,,,,,,,,TRUE,,
