avibase_id,reason,reference
avibase-9A4AA945,Sensitive Kenya species whose publishable observations may be obscured or withheld from the EBD,https://ebird.org/species/taifal1/KE
avibase-A9F51494,Sensitive Kenya species whose publishable observations may be obscured or withheld from the EBD,https://ebird.org/species/sakfal1/KE
