sort,family_scientific,family_english,common_name,scientific_name,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,water_bird,strict_water_bird,sort_1996,sort_2009,avibaseid,entry_checklist_of_kenya,note_2009,note_2019
1,Struthionidae,Ostriches,Common Ostrich,Struthio camelus (race camelus),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,avibase-2247CB05,Common Ostrich Struthio camelus massaicus,"In the 1996 list, Struthio (camelus) molybdophanes, English name the Somali Ostrich, was treated as a separate species (Freitag & Robinson 1993), necessitating the qualifier ‘Common’ for the species containing the other two races (nominate camelus and massaicus); with the lumping in the present list no qualifier is required","(nominate race camelus Ex?) (Freitag & Robinson, 1983; Miller et al., 2011)"
2,Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-40329BB6,Somali Ostrich Struthio molybdophanes,,
3,Anatidae,Ducks and Geese,White-faced Whistling Duck,Dendrocygna viduata,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,71,22,avibase-A534AFEA,White-faced Whistling Duck Dendrocygna viduata,"In the 1996 list, Struthio (camelus) molybdophanes, English name the Somali Ostrich, was treated as a separate species (Freitag & Robinson 1993), necessitating the qualifier ‘Common’ for the species containing the other two races (nominate camelus and massaicus); with the lumping in the present list no qualifier is required",
4,Anatidae,Ducks and Geese,Fulvous Whistling Duck,Dendrocygna bicolor,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,70,23,avibase-9A60617E,Fulvous Whistling Duck Dendrocygna bicolor N,,
5,Anatidae,Ducks and Geese,White-backed Duck,Thalassornis leuconotus,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,72,24,avibase-2EEDACD5,White-backed Duck Thalassornis leuconotus,,
6,Anatidae,Ducks and Geese,Maccoa Duck,Oxyura maccoa,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,94,45,avibase-1C2F4E80,Maccoa Duck Oxyura maccoa,,
7,Anatidae,Ducks and Geese,Egyptian Goose,Alopochen aegyptiaca,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,74,27,avibase-DA2F24E3,Egyptian Goose Alopochen aegyptiaca,Was Alopochen aegyptiacus in the 1996 list; gender change follows David & Gosselin (2002b),
8,Anatidae,Ducks and Geese,Spur-winged Goose,Plectropterus gambensis,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,73,25,avibase-EB01B24C,Spur-winged Goose Plectropterus gambensis,,
9,Anatidae,Ducks and Geese,Knob-billed Duck,Sarkidiornis melanotos,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,76,26,avibase-3948131B,Knob-billed Duck Sarkidiornis melanotos am,,
10,Anatidae,Ducks and Geese,African Pygmy Goose,Nettapus auritus,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,77,28,avibase-EC7C1618,African Pygmy Goose Nettapus auritus,,
11,Anatidae,Ducks and Geese,Southern Pochard,Netta erythrophthalma,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,90,41,avibase-36C0242E,Southern Pochard Netta erythrophthalma am,,
12,Anatidae,Ducks and Geese,Common Pochard,Aythya ferina,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,91,42,avibase-A96692E0,Common Pochard Aythya ferina VP Rar.,PM,
13,Anatidae,Ducks and Geese,Ferruginous Duck,Aythya nyroca,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,92,43,avibase-7CF91527,Ferruginous Duck Aythya nyroca PM,,
14,Anatidae,Ducks and Geese,Tufted Duck,Aythya fuligula,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,93,44,avibase-67CEA1C1,Tufted Duck Aythya fuligula PM,PM,
15,Anatidae,Ducks and Geese,Northern Shoveler,Spatula clypeata,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,89,35,avibase-ED4CE8E7,Northern Shoveler Spatula clypeata PM,,
16,Anatidae,Ducks and Geese,Garganey,Spatula querquedula,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,84,38,avibase-F577BA0F,Garganey Spatula querquedula PM,,
17,Anatidae,Ducks and Geese,Hottentot Teal,Spatula hottentota,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,88,40,avibase-FA831F65,Hottentot Teal Spatula hottentota,,
18,Anatidae,Ducks and Geese,Gadwall,Mareca strepera,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,82,30,avibase-C235A4D7,Gadwall Mareca strepera PM,,Formerly Anas strepera
19,Anatidae,Ducks and Geese,Eurasian Wigeon,Mareca penelope,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,81,31,avibase-15EE0D36,Eurasian Wigeon Mareca penelope PM,,
20,Anatidae,Ducks and Geese,Cape Teal,Anas capensis,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,80,29,avibase-25DA0F41,Cape Teal Anas capensis,,
21,Anatidae,Ducks and Geese,African Black Duck,Anas sparsa,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,79,32,avibase-1EAFAD9F,African Black Duck Anas sparsa,,
22,Anatidae,Ducks and Geese,Mallard,Anas platyrhynchos,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,78,33,avibase-85625D75,Mallard Anas platyrhynchos VP Rar.,,
23,Anatidae,Ducks and Geese,Yellow-billed Duck,Anas undulata,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,85,34,avibase-7F64AD87,Yellow-billed Duck Anas undulata am,,
24,Anatidae,Ducks and Geese,Red-billed Teal,Anas erythrorhyncha,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,87,36,avibase-8F6876AC,Red-billed Teal Anas erythrorhyncha,,
25,Anatidae,Ducks and Geese,Northern Pintail,Anas acuta,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,86,37,avibase-56CCA717,Northern Pintail Anas acuta PM,,
26,Anatidae,Ducks and Geese,Eurasian Teal,Anas crecca,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,83,39,avibase-BC6C3CCE,Eurasian Teal Anas crecca PM,,
27,Numididae,Guineafowl,Helmeted Guineafowl,Numida meleagris,,,,,,,,,,,,,,,,,,,,,,,,,,204,2,avibase-1044B438,Helmeted Guineafowl Numida meleagris,,
28,Numididae,Guineafowl,Vulturine Guineafowl,Acryllium vulturinum,,,,,,,,,,,,,,,,,,,,,,,,,,203,4,avibase-F7A3FA35,Vulturine Guineafowl Acryllium vulturinum,,
29,Numididae,Guineafowl,Crested Guineafowl,Guttera pucherani,,,,,,,,,,,,,,,,,,,,,,,,,,202,3,avibase-D5813CA4,Crested Guineafowl Guttera pucherani,"The nominate, mainly coastal and lowland race is sometimes regarded as being a species, the Kenya Crested Guineafowl; mainly western and highland forest birds of the race verreauxi are then split off as a species, the Crested Guinea Fowl",
29.1,Numididae,Guineafowl,Kenya Crested Guineafowl,Guttera pucherani pucherani,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-35D60F12,Kenya Crested Guineafowl G. p. pucherani,,
29.2,Numididae,Guineafowl,Crested Guineafowl,Guttera (pucherani) verreauxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-9D29C252,Crested Guineafowl G. (p.) verreauxi,,
30,Odontophoridae,Stone Partridge,Stone Partridge,Ptilopachus petrosus,,,,,,,,,,,,,,,,,,,,,,,,,,182,5,avibase-57B05159,Stone Partridge Ptilopachus petrosus,,
31,Phasianidae,"Francolins, Spurfowl and Quails",Common Quail,Coturnix coturnix (race coturnix),,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,178,19,avibase-CAFE345D,Common Quail Coturnix coturnix pm (nominate race coturnix NRR),,
32,Phasianidae,"Francolins, Spurfowl and Quails",Harlequin Quail,Coturnix delegorguei,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,180,20,avibase-0CA903BB,Harlequin Quail Coturnix delegorguei am,,
33,Phasianidae,"Francolins, Spurfowl and Quails",African Blue Quail,Synoicus adansoniee,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,179,21,avibase-CAA45AC6,African Blue Quail Synoicus adansonii AM,,Formerly Blue Quail
34,Phasianidae,"Francolins, Spurfowl and Quails",Scaly Francolin,Pternistis squamatus,,,,,,,,,,,,,,,,,,,,,,,,,,195,13,avibase-1B11690B,Scaly Francolin Pternistis squamatus,,
35,Phasianidae,"Francolins, Spurfowl and Quails",Hildebrandt's Francolin,Pternistis hildebrandti,,,,,,,,,,,,,,,,,,,,,,,,,,194,14,avibase-F5A73AAA,Hildebrandt’s Francolin Pternistis hildebrandti,,
36,Phasianidae,"Francolins, Spurfowl and Quails",Red-necked Spurfowl,Pternistis afer,,,,,,,,,,,,,,,,,,,,,,,,,,201,17,avibase-5FA94F66,Red-necked Spurfowl Pternistis afer,,
37,Phasianidae,"Francolins, Spurfowl and Quails",Yellow-necked Spurfowl, Pternistis leucoscepus,,,,,,,,,,,,,,,,,,,,,,,,,,199,18,avibase-90AFDF9E,Yellow-necked Spurfowl Pternistis leucoscepus,,
38,Phasianidae,"Francolins, Spurfowl and Quails",Jackson’s Francolin,Pternistis jacksoni,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,196,15,avibase-A7E59764,Jackson’s Francolin Pternistis jacksoni E,,
39,Phasianidae,"Francolins, Spurfowl and Quails",Chestnut-naped Francolin,Pternistis castaneicollis (race atrifrons),,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,198,16,avibase-81474844,Chestnut-naped Francolin Pternistis castaneicollis NRR Rar.,,"Race recorded in Kenya is atrifrons. Should atrifrons be fully accepted as a separate species, English name will become Black-fronted Francolin"
40,Phasianidae,"Francolins, Spurfowl and Quails",Crested Francolin,Dendroperdix sephaena,,,,,,,,,,,,,,,,,,,,,,,,,,190,12,avibase-8004C7E5,Crested Francolin Dendroperdix sephaena,,
41,Phasianidae,"Francolins, Spurfowl and Quails",Coqui Francolin,Peliperdix coqui,,,,,,,,,,,,,,,,,,,,,,,,,,183,6,avibase-ECD7C1D8,Coqui Francolin Peliperdix coqui,,
42,Phasianidae,"Francolins, Spurfowl and Quails",Ring-necked Francolin,Scleroptila streptophora,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,185,7,avibase-5B115F6C,Ring-necked Francolin Scleroptila streptophora NRR,,
43,Phasianidae,"Francolins, Spurfowl and Quails",Red-winged Francolin,Scleroptila levaillantii,,,,,,,,,,,,,,,,,,,,,,,,,,186,8,avibase-B49935ED,Red-winged Francolin Scleroptila levaillantii,,
44,Phasianidae,"Francolins, Spurfowl and Quails",Shelley's Francolin,Scleroptila shelleyi (race macarthuri),,,TRUE,,,,,,,,,,,,,,,,,,,,,,,188,9,avibase-A15F6836,Shelley’s Francolin Scleroptila shelleyi (race macarthuri E),,
45,Phasianidae,"Francolins, Spurfowl and Quails",Elgon Francolin,Scleroptila elgonensis (race theresae),,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,avibase-3D25568A,Elgon Francolin Scleroptila elgonensis (race theresae E),, The treatment of Elgon Francolin as a separate species from Moorland Francolin (as listed in the 2009 checklist) has been documented in Hunter et al. (2019)
46,Phasianidae,"Francolins, Spurfowl and Quails",Archer’s Francolin ,Scleroptila gutturalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-8E833C63,Archer’s Francolin Scleroptila gutturalis,,"The wrong protocol was followed in the 2009 Checklist, using Orange River Francolin Francolinus levalliantoides, given that gutturalis was described prior to levalliantoides (Turner & Pearson, 2015)"
47,Podicipedidae,Grebes,Little Grebe,Tachybaptus ruficollis,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,5,60,avibase-215FEA89,Little Grebe Tachybaptus ruficollis,,
48,Podicipedidae,Grebes,Great Crested Grebe,Podiceps cristatus,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,3,61,avibase-8F269702,Great Crested Grebe Podiceps cristatus,,
49,Podicipedidae,Grebes,Black-necked Grebe,Podiceps nigricollis,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,4,62,avibase-32DCEC14,Black-necked Grebe Podiceps nigricollis,,
50,Phoenicopteridae,Flamingos,Greater Flamingo,Phoenicopterus roseus,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,68,63,avibase-0F9B5174,Greater Flamingo Phoenicopterus roseus am pm,,
51,Phoenicopteridae,Flamingos,Lesser Flamingo,Phoeniconaias minor,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,69,64,avibase-B06A9079,Lesser Flamingo Phoeniconaias minor am ,,
52,Columbidae,Pigeons and Doves,Feral Pigeon,Columba livia,,,,,,,,,,,,,,,,,,,,,,,,,,368,334,avibase-BBA263C2,Feral (Rock) Pigeon Columba livia Introduced,,
53,Columbidae,Pigeons and Doves,Speckled Pigeon,Columba guinea,,,,,,,,,,,,,,,,,,,,,,,,,,366,335,avibase-A6EA9F02,Speckled Pigeon Columba guinea,,
54,Columbidae,Pigeons and Doves,African Olive Pigeon,Columba arquatrix,,,,,,,,,,,,,,,,,,,,,,,,,,365,336,avibase-EEDB8253,African Olive Pigeon Columba arquatrix,Called just Olive Pigeon in the 1996 list,
55,Columbidae,Pigeons and Doves,Eastern Bronze-naped Pigeon,Columba delegorguei,,,,,,,,,,,,,,,,,,,,,,,,,,364,337,avibase-870E4DDA,Eastern Bronze-naped Pigeon Columba delegorguei,,
56,Columbidae,Pigeons and Doves,Lemon Dove,Aplopelia larvata,,,,,,,,,,,,,,,,,,,,,,,,,,369,338,avibase-EE40DDB6,Lemon Dove Aplopelia larvata,,
57,Columbidae,Pigeons and Doves,European Turtle Dove,Streptopelia turtur,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,375,339,avibase-5788552B,European Turtle Dove Streptopelia turtur VP,,
58,Columbidae,Pigeons and Doves,Dusky Turtle Dove,Streptopelia lugens,,,,,,,,,,,,,,,,,,,,,,,,,,376,340,avibase-8770C6A7,Dusky Turtle Dove Streptopelia lugens,,
59,Columbidae,Pigeons and Doves,African White-winged Dove,Streptopelia reichenowi ,,,,,,,,,,,,,,,,,,,,,,,,,,374,341,avibase-65FE8029,African White-winged Dove Streptopelia reichenowi ,Near Threatened,
60,Columbidae,Pigeons and Doves,African Mourning Dove,Streptopelia decipiens,,,,,,,,,,,,,,,,,,,,,,,,,,371,342,avibase-70BD722B,African Mourning Dove Streptopelia decipiens,,
61,Columbidae,Pigeons and Doves,Red-eyed Dove,Streptopelia semitorquata,,,,,,,,,,,,,,,,,,,,,,,,,,370,343,avibase-9888B3AE,Red-eyed Dove Streptopelia semitorquata,,
62,Columbidae,Pigeons and Doves,Ring-necked Dove,Streptopelia capicola,,,,,,,,,,,,,,,,,,,,,,,,,,373,344,avibase-AB937AEB,Ring-necked Dove Streptopelia capicola,,
63,Columbidae,Pigeons and Doves,Laughing Dove,Spilopelia senegalensis,,,,,,,,,,,,,,,,,,,,,,,,,,377,345,avibase-B2D6AB06,Laughing Dove Spilopelia senegalensis,,
64,Columbidae,Pigeons and Doves,Bruce's Green Pigeon,Treron waalia,,,,,,,,,,,,,,,,,,,,,,,,,,355,350,avibase-46C90944,Bruce’s Green Pigeon Treron waalia,,
65,Columbidae,Pigeons and Doves,African Green Pigeon,Treron calvus,,,,,,,,,,,,,,,,,,,,,,,,,,354,351,avibase-00146574,African Green Pigeon Treron calvus,"Following David & Gosselin (2002b), calvus is correct (was calva in the 1996 list)",
66,Columbidae,Pigeons and Doves,Emerald-spotted Wood-Dove,Turtur chalcospilos,,,,,,,,,,,,,,,,,,,,,,,,,,359,346,avibase-BDF442F2,Emerald-spotted Wood Dove Turtur chalcospilos,,
67,Columbidae,Pigeons and Doves,Blue-spotted Wood-Dove,Turtur afer,,,,,,,,,,,,,,,,,,,,,,,,,,358,347,avibase-23D5FC36,Blue-spotted Wood Dove Turtur afer,,
68,Columbidae,Pigeons and Doves,Tambourine Dove,Turtur tympanistria,,,,,,,,,,,,,,,,,,,,,,,,,,357,348,avibase-7308278F,Tambourine Dove Turtur tympanistria,,
69,Columbidae,Pigeons and Doves,Namaqua Dove,Oena capensis,,,,,,,,,,,,,,,,,,,,,,,,,,361,349,avibase-DDC2CC92,Namaqua Dove Oena capensis,,
70,Pteroclidae,Sandgrouse,Chestnut-bellied Sandgrouse,Pterocles exustus,,,,,,,,,,,,,,,,,,,,,,,,,,349,329,avibase-F5DE9155,Chestnut-bellied Sandgrouse Pterocles exustus,Called Common Button-quail in the 1996 list,
71,Pteroclidae,Sandgrouse,Yellow-throated Sandgrouse,Pterocles gutturalis,,,,,,,,,,,,,,,,,,,,,,,,,,353,330,avibase-8B6EA5FA,Yellow-throated Sandgrouse Pterocles gutturalis,,
72,Pteroclidae,Sandgrouse,Black-faced Sandgrouse,Pterocles decoratus,,,,,,,,,,,,,,,,,,,,,,,,,,350,331,avibase-70AFED2C,Black-faced Sandgrouse Pterocles decoratus,,
73,Pteroclidae,Sandgrouse,Lichtenstein's Sandgrouse,Pterocles lichtensteinii,,,,,,,,,,,,,,,,,,,,,,,,,,351,332,avibase-F3715F7B,Lichtenstein’s Sandgrouse Pterocles lichtensteinii,,
74,Pteroclidae,Sandgrouse,Four-banded Sandgrouse,Pterocles quadricinctus,,,,,,,,,,,,,,,,,,,,,,,,,,352,333,avibase-461482EA,Four-banded Sandgrouse Pterocles quadricinctus,,
75,Otididae, Bustards,Black-bellied Bustard,Lissotis melanogaster,,,,,,,,,,,,,,,,,,,,,,,,,,239,196,avibase-562F4456,Black-bellied Bustard Lissotis melanogaster,This and the next species were in Eupodotis in the 1996 list,
76,Otididae, Bustards,Hartlaub's Bustard,Lissotis hartlaubii,,,,,,,,,,,,,,,,,,,,,,,,,,240,197,avibase-402E7401,Hartlaub’s Bustard Lissotis hartlaubii,Called Common Button-quail in the 1996 list,
77,Otididae, Bustards,Arabian Bustard,Ardeotis arabs,,,,,,,,,,,,,,,,,,,,,,,,,,236,190,avibase-6A394479,Arabian Bustard Ardeotis arabs,"A pair collected, January 1932, northern Turkana and one photographed, January 1989 near Ileret",
78,Otididae, Bustards,Kori Bustard,Ardeotis kori,,,,,,,,,,,,,,,,,,,,,,,,,,235,191,avibase-4FC41CA0,Kori Bustard Ardeotis kori,,
79,Otididae, Bustards,Denham’s Bustard,Ardeotis denhami ,,,,,,,,,,,,,,,,,,,,,,,,,,233,192,avibase-4FDBC0CB,Denham’s Bustard Ardeotis denhami ,,
80,Otididae, Bustards,Heuglin’s Bustard,Ardeotis heuglinii,,,,,,,,,,,,,,,,,,,,,,,,,,234,193,avibase-4971D1EF,Heuglin’s Bustard Ardeotis heuglinii,,
81,Otididae, Bustards,Buff-crested Bustard,Lophotis gindiana,,,,,,,,,,,,,,,,,,,,,,,,,,237,195,avibase-968D57F9,Buff-crested Bustard Lophotis gindiana,,
82,Otididae, Bustards,White-bellied Bustard,Eupodotis senegalensis,,,,,,,,,,,,,,,,,,,,,,,,,,238,194,avibase-3B287014,White-bellied Bustard Eupodotis senegalensis,,
83,Cuculidae,Cuckoos and Coucals,Black Coucal,Centropus grillii,,,,,,,,,,,,,,,,,,,,,,,,,,424,387,avibase-DB09507D,Black Coucal Centropus grillii,,
84,Cuculidae,Cuckoos and Coucals,Blue-headed Coucal,Centropus monachus,,,,,,,,,,,,,,,,,,,,,,,,,,426,388,avibase-7C879D6D,Blue-headed Coucal Centropus monachus,,
85,Cuculidae,Cuckoos and Coucals,Senegal Coucal,Centropus senegalensis,,,,,,,,,,,,,,,,,,,,,,,,,,425,389,avibase-4A83155B,Senegal Coucal Centropus senegalensis,,
86,Cuculidae,Cuckoos and Coucals,White-browed Coucal,Centropus superciliosus,,,,,,,,,,,,,,,,,,,,,,,,,,422,390,avibase-BD2BC35C,White-browed Coucal Centropus superciliosus,,
87,Cuculidae,Cuckoos and Coucals,Western Yellowbill (Blue Malkoha),Ceuthmochares aereus,,,,,,,,,,,,,,,,,,,,,,,,,,421,386,avibase-E0D521B7,Western Yellowbill (Blue Malkoha) Ceuthmochares aereus,am,
88,Cuculidae,Cuckoos and Coucals,Southern Yellowbill (Green Malkoha),Ceuthmochares australis,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-3A46A20C,Southern Yellowbill (Green Malkoha) Ceuthmochares australis am,,
89,Cuculidae,Cuckoos and Coucals,Jacobin Cuckoo,Clamator jacobinus,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,404,372,avibase-BF0A0954,Jacobin Cuckoo Clamator jacobinus am pm om,,
90,Cuculidae,Cuckoos and Coucals,Levaillant’s Cuckoo,Clamator levaillantii,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,405,373,avibase-3C8C3A31,Levaillant’s Cuckoo Clamator levaillantii am,,
91,Cuculidae,Cuckoos and Coucals,Great Spotted Cuckoo,Clamator glandarius,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,406,374,avibase-3D67C56A,Great Spotted Cuckoo Clamator glandarius am (pm),,
92,Cuculidae,Cuckoos and Coucals,Thick-billed Cuckoo,Pachycoccyx audeberti,,,,,,,,,,,,,,,,,,,,,,,,,,407,375,avibase-2AD52363,Thick-billed Cuckoo Pachycoccyx audeberti,,
93,Cuculidae,Cuckoos and Coucals,Klaas's Cuckoo,Chrysococcyx klaas,,,,,,,,,,,,,,,,,,,,,,,,,,419,383,avibase-1FACD210,Klaas’s Cuckoo Chrysococcyx klaas,,
94,Cuculidae,Cuckoos and Coucals,African Emerald Cuckoo,Chrysococcyx cupreus,,,,,,,,,,,,,,,,,,,,,,,,,,417,384,avibase-1B309CB5,African Emerald Cuckoo Chrysococcyx cupreus,,
95,Cuculidae,Cuckoos and Coucals,Diederik Cuckoo,Chrysococcyx caprius,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,420,385,avibase-0482FA7E,Diederik Cuckoo Chrysococcyx caprius am,am,
96,Cuculidae,Cuckoos and Coucals,Barred Long-tailed Cuckoo,Cercococcyx montanus,,,,,,,,,,,,,,,,,,,,,,,,,,416,382,avibase-B8D42059,Barred Long-tailed Cuckoo Cercococcyx montanus,,
97,Cuculidae,Cuckoos and Coucals,Red-chested Cuckoo,Cuculus solitarius,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,409,376,avibase-26A34DA5,Red-chested Cuckoo Cuculus solitarius am,am,
98,Cuculidae,Cuckoos and Coucals,Black Cuckoo,Cuculus clamosus,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,408,377,avibase-EDB84334,Black Cuckoo Cuculus clamosus am,am,
99,Cuculidae,Cuckoos and Coucals,Common Cuckoo,Cuculus canorus,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,410,378,avibase-B3D2C3C5,Common Cuckoo Cuculus canorus PM,,
100,Cuculidae,Cuckoos and Coucals,African Cuckoo,Cuculus gularis,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,411,379,avibase-66931B3F,African Cuckoo Cuculus gularis AM,AM,
101,Cuculidae,Cuckoos and Coucals,Lesser Cuckoo,Cuculus poliocephalus,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,412,380,avibase-FF41B79F,Lesser Cuckoo Cuculus poliocephalus PM OM,,
102,Cuculidae,Cuckoos and Coucals,Madagascar Cuckoo,Cuculus rochii,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,413,381,avibase-C2E0717C,Madagascar Cuckoo Cuculus rochii MM,,
103,Musophagidae,Turacos and Go-Away-Birds,Great Blue Turaco,Corythaeola cristata,,,,,,,,,,,,,,,,,,,,,,,,,,390,361,avibase-002445CB,Great Blue Turaco Corythaeola cristata,,
104,Musophagidae,Turacos and Go-Away-Birds,White-bellied Go-away-bird,Criniferoides leucogaster,,,,,,,,,,,,,,,,,,,,,,,,,,401,370,avibase-2AA4BC58,White-bellied Go-away-bird Criniferoides leucogaster,,
105,Musophagidae,Turacos and Go-Away-Birds,Eastern Grey Plantain-eater,Crinifer zonurus,,,,,,,,,,,,,,,,,,,,,,,,,,403,371,avibase-10B14696,Eastern Grey Plantain-eater Crinifer zonurus,,
106,Musophagidae,Turacos and Go-Away-Birds,Bare-faced Go-away-bird,Corythaixoides personatus,,,,,,,,,,,,,,,,,,,,,,,,,,400,369,avibase-215428B0,Bare-faced Go-away-bird Corythaixoides personatus,,
106.1,Musophagidae,Turacos and Go-Away-Birds,Bare-faced (Brown-faced) Go-away-bird,Corythaixoides personatus personatus,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,avibase-71A552DA,Bare-faced (Brown-faced) Go-away-bird C. p. personatus Rar.,,
106.2,Musophagidae,Turacos and Go-Away-Birds,Bare-faced (Black-faced) Go-away-bird,Corythaixoides (personatus) leopoldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-BEDA5DA6,Bare-faced (Black-faced) Go-away-bird C. (p.) leopoldi,,
107,Musophagidae,Turacos and Go-Away-Birds,Purple-crested Turaco,Gallirex porphyreolophus,,,,,,,,,,,,,,,,,,,,,,,,,,393,367,avibase-76E45A19,Purple-crested Turaco Gallirex porphyreolophus,,
108,Musophagidae,Turacos and Go-Away-Birds,Schalow's Turaco,Tauraco Schalowi,,,,,,,,,,,,,,,,,,,,,,,,,,395,362,avibase-22952180,Schalow’s Turaco Tauraco schalowi,,
109,Musophagidae,Turacos and Go-Away-Birds,Black-billed Turaco,Tauraco schuettii,,,,,,,,,,,,,,,,,,,,,,,,,,396,363,avibase-C9A1C773,Black-billed Turaco Tauraco schuettii,,
110,Musophagidae,Turacos and Go-Away-Birds,Fischer’s Turaco,Tauraco fischeri ,,,,,,,,,,,,,,,,,,,,,,,,,,397,364,avibase-D5846D2A,Fischer’s Turaco Tauraco fischeri ,Near Threatened,
111,Musophagidae,Turacos and Go-Away-Birds,White-crested Turaco,Tauraco leucolophus,,,,,,,,,,,,,,,,,,,,,,,,,,399,365,avibase-FF2AF138,White-crested Turaco Tauraco leucolophus,,
112,Musophagidae,Turacos and Go-Away-Birds,Hartlaub's Turaco,Tauraco hartlaubi,,,,,,,,,,,,,,,,,,,,,,,,,,398,366,avibase-94214F1C,Hartlaub’s Turaco Tauraco hartlaubi,,
113,Musophagidae,Turacos and Go-Away-Birds,Ross's Turaco,Musophaga rossae,,,,,,,,,,,,,,,,,,,,,,,,,,391,368,avibase-2C7BA3A6,Ross’s Turaco Musophaga rossae,,
114,Caprimulgidae,Nightjars,Eurasian Nightjar,Caprimulgus europaeus,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,457,410,avibase-80D4B0FE,Eurasian Nightjar Caprimulgus europaeus PM,PM,
115,Caprimulgidae,Nightjars,Dusky Nightjar,Caprimulgus fraenatus,,,,,,,,,,,,,,,,,,,,,,,,,,456,411,avibase-E93A0F33,Dusky Nightjar Caprimulgus fraenatus,,
116,Caprimulgidae,Nightjars,Nubian Nightjar,Caprimulgus nubicus ,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,451,412,avibase-626D56E4,Nubian Nightjar Caprimulgus nubicus AM,,
117,Caprimulgidae,Nightjars,Donaldson Smith's Nightjar,Caprimulgus donaldsoni,,,,,,,,,,,,,,,,,,,,,,,,,,450,413,avibase-D1D9B619,Donaldson Smith’s Nightjar Caprimulgus donaldsoni,The American zoologist and collector Dr Arthur Donaldson Smith (1864–1939) had no hyphen in his name,
