IOC_sort,2019#,ADU,Rank,Scientific Name,Common Name,Status Birdlife,2019 IUCN Red List category,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,Order,Family,Clements--Sort,Clements--code,Clements--Scientific Name,Clements--Common Name,Clements--Family,H&M--Scientific Name,H&M--Common Name,H&M--sort_key,HBW-BL--Scientific Name,HBW-BL--Common Name,HBW-BL--Note,HBW-BL--SISRecID,IOC--Code,IOC--Note,96#,2009#,IOC--Breeding Range,IOC--Nonbreeding Range,Clements--range,H&M--range,Note 2019,Note 2009
7,1,1,Species,Struthio camelus,Common Ostrich,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,struthioniformes, Struthionidae,1,ostric2,Struthio camelus,Common Ostrich,Ostriches,Struthio camelus,Common Ostrich,001-001-001-001,Struthio camelus,Common Ostrich,"Struthio camelus and S. molybdophanes (del Hoyo and Collar 2014) were previously lumped as S. camelus following Sibley and Monroe (1990, 1993).",45020636,TAX,See Miller et al. (2011) re genetic structure and phylogeography of ostrich populations,1,1,"AF : w, c, e, sw",,,,"(nominate race camelus Ex?) (Freitag & Robinson, 1983; Miller et al., 211)","In the 1996 list, Struthio (camelus) molybdophanes, English name the Somali Ostrich, was treated as a separate species (Freitag & Robinson 1993), necessitating the qualifier ëCommoní for the species containing the other two races (nominate camelus and massaicus); with the lumping in the present list no qualifier is required"
8,,,Subspecies,Struthio camelus syriacus,Common Ostrich,,,,,,,,,,,,,,,,,,,,,,,,,,struthioniformes, Struthionidae,3,,Struthio camelus syriacus,,Ostriches,Struthio camelus syriacus,Common Ostrich,001-001-001-001-001,,,,,,,,,Syrian and Arabian Deserts,,Formerly Syrian and Arabian deserts. Extinct ca. 1966,Syrian and Arabian deserts,,
9,,,Subspecies,Struthio camelus camelus,Common Ostrich,,,,,,,,,,,,,,,,,,,,,,,,,,struthioniformes, Struthionidae,2,,Struthio camelus camelus,,Ostriches,Struthio camelus camelus,Common Ostrich,001-001-001-001-002,,,,,,,,,"s Morocco and Mauritania to s Egypt, Eritrea and n and w Ethiopia, south to Cameroon and n Uganda",,Sahel of North Africa and the Sudan,"S Morocco and Mauritania to Sudan, N and W Ethiopia, N Uganda",,
10,,,Subspecies,Struthio camelus massaicus,Common Ostrich,,,,,,,,,,,,,,,,,,,,,,,,,,struthioniformes, Struthionidae,4,,Struthio camelus massaicus,,Ostriches,Struthio camelus massaicus,Common Ostrich,001-001-001-001-004,,,,,,,,,s Kenya and c Tanzania,,S Kenya and e Tanzania,S Kenya to C Tanzania,,
11,,,Subspecies,Struthio camelus australis,Common Ostrich,,,,,,,,,,,,,,,,,,,,,,,,,,struthioniformes, Struthionidae,5,,Struthio camelus australis,,Ostriches,Struthio camelus australis,Common Ostrich,001-001-001-001-005,,,,,,,,,s Africa,,Southern Africa,"S Angola, Namibia, Botswana, SW Zimbabwe, W and N South Africa",,
12,2,1200,Species,Struthio molybdophanes,Somali Ostrich,,Vulnerable,,,,,,,,,,,,,,,,,,,,,,,,struthioniformes, Struthionidae,6,ostric3,Struthio molybdophanes,Somali Ostrich,Ostriches,Struthio molybdophanes,Somali Ostrich,001-001-001-002,Struthio molybdophanes,Somali Ostrich,"Struthio camelus and S. molybdophanes (del Hoyo and Collar 2014) were previously lumped as S. camelus following Sibley and Monroe (1990, 1993).",22732795,AS,Genetic analyses support species recognition of Somali Ostrich and perhaps other subspecies groups (Miller et al. 2011),,,"AF : Somalia, n Kenya",,S Ethiopia to Somalia and adjacent ne Kenya,"Somalia, SE Ethiopia, N and E Kenya [Reichenow, 1883 #15833]",,
422,27,192,Species,Numida meleagris,Helmeted Guineafowl,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,864,helgui,Numida meleagris,Helmeted Guineafowl,"Grouse, Quail, and Allies",Numida meleagris,Helmeted Guineafowl,011-001-001-001,Numida meleagris,Helmeted Guineafowl,,22679555,,,204,2,AF : widespread,,,,,
423,,,Subspecies,Numida meleagris sabyi,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,865,helgui2,Numida meleagris sabyi,Helmeted Guineafowl (Moroccan),"Grouse, Quail, and Allies",Numida meleagris sabyi,Helmeted Guineafowl,011-001-001-001-001,,,,,,,,,nw Morocco,,NW Morocco,NW Morocco,,
424,,,Subspecies,Numida meleagris galeatus,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,866,helgui4,Numida meleagris galeatus,Helmeted Guineafowl (West African),"Grouse, Quail, and Allies",Numida meleagris galeatus,Helmeted Guineafowl,011-001-001-001-002,,,,,,,,,w Africa to s Chad and n Angola,,"west Africa to southern Chad, central Democratic Republic of the Congo, and northern Angola","Senegal to S Chad, south to N Angola",,
425,,,Subspecies,Numida meleagris meleagris,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,868,,Numida meleagris meleagris,,"Grouse, Quail, and Allies",Numida meleagris meleagris,Helmeted Guineafowl,011-001-001-001-003,,,,,,,,,"e Chad to w Ethiopia, n Kenya, Uganda and n DR Congo",,"eastern Chad to Ethiopia, northern Democratic Republic of the Congo, Uganda and northern Kenya","E Chad to N and W Ethiopia, south to N DR Congo, Uganda and N Kenya",,
426,,,Subspecies,Numida meleagris somaliensis,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,869,,Numida meleagris somaliensis,,"Grouse, Quail, and Allies",Numida meleagris somaliensis,Helmeted Guineafowl,011-001-001-001-004,,,,,,,,,"ne Ethiopia, Somalia",,NE Ethiopia and Somalia,"E and S Ethiopia, Somalia, NE Kenya",,
427,,,Subspecies,Numida meleagris reichenowi,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,870,helgui5,Numida meleagris reichenowi,Helmeted Guineafowl (Reichenow's),"Grouse, Quail, and Allies",Numida meleagris reichenowi,Helmeted Guineafowl,011-001-001-001-005,,,,,,,,,Kenya to c Tanzania,,Kenya and central Tanzania,S Kenya to C Tanzania,,
428,,,Subspecies,Numida meleagris mitratus,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,872,,Numida meleagris mitratus,,"Grouse, Quail, and Allies",Numida meleagris mitratus,Helmeted Guineafowl,011-001-001-001-006,,,,,,,,,"Tanzania to Mozambique, Zambia and Botswana",,"Tanzania to e Mozambique, Zambia and n Botswana","E Kenya, E and S Tanzania to E Botswana, N South Africa and S Mozambique",,
429,,,Subspecies,Numida meleagris marungensis,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,873,,Numida meleagris marungensis,,"Grouse, Quail, and Allies",Numida meleagris marungensis,Helmeted Guineafowl,011-001-001-001-007,,,,,,,,,s DR Congo to w Angola and Zambia,,S Congo basin to w Angola and Zambia,S DR Congo to W Angola and Zambia,,
430,,,Subspecies,Numida meleagris papillosus,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,874,,Numida meleagris papillosus,,"Grouse, Quail, and Allies",Numida meleagris papillosus,Helmeted Guineafowl,011-001-001-001-008,,,,,,,,,"Botswana, Namibia",,S Angola to Botswana and Namibia,"S Angola, Botswana, N and C Namibia ",,
431,,,Subspecies,Numida meleagris coronatus,Helmeted Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,875,,Numida meleagris coronatus,,"Grouse, Quail, and Allies",Numida meleagris coronatus,Helmeted Guineafowl,011-001-001-001-009,,,,,,,,,e South Africa,,E South Africa,N and SE South Africa,,
436,29,193,Species,Guttera pucherani,Crested Guineafowl,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,883,cregui1,Guttera pucherani,Crested Guineafowl,"Grouse, Quail, and Allies",Guttera pucherani,Crested Guineafowl,011-001-004-002,Guttera pucherani,Eastern Crested Guineafowl,"Guttera pucherani, G. edouardi and G. verreauxi (del Hoyo and Collar 2014) were previously lumped as G. pucherani following Sibley and Monroe (1990, 1993).",22725212,,,202,3,"AF : w, c, e, se",,,,,"The nominate, mainly coastal and lowland race is sometimes regarded as being a species, the Kenya Crested Guineafowl; mainly western and highland forest birds of the race verreauxi are then split off as a species, the Crested Guinea Fowl"
437,29.1,,Subspecies,Guttera pucherani pucherani,Crested Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,884,cregui3,Guttera pucherani pucherani,Crested Guineafowl (Kenya),"Grouse, Quail, and Allies",Guttera pucherani pucherani,Crested Guineafowl,011-001-004-002-003,,,,,,,,,"sw Somalia to c Tanzania, Zanzibar, Tumbatu I.",,"Somalia to Tanzania, Zanzibar and Tumbatu I.","SW Somalia, E Kenya, NE and E Tanzania, Zanzibar, Tambatu I.",,
438,29.2,,Subspecies,Guttera pucherani verreauxi,Crested Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,887,,Guttera pucherani verreauxi,,"Grouse, Quail, and Allies",Guttera pucherani verreauxi,Crested Guineafowl,011-001-004-002-001,,,,,SSP,"Includes kathleenae and schoutedeni. Urban et al., 1986, Martinez, 1994.",,,"Guinea-Bissau to w Kenya, Zambia and Angola",,"Guinea-Bissau to w Kenya, Angola and Zambia","Guinea to SW Nigeria; E PR Congo to W Kenya and C Tanzania [Elliot, 1870 #1498]",,
439,,,Subspecies,Guttera pucherani sclateri,Crested Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,886,,Guttera pucherani sclateri,,"Grouse, Quail, and Allies",Guttera pucherani sclateri,Crested Guineafowl,011-001-004-002-002,,,,,,,,,nw Cameroon,,NW Cameroon,SE Nigeria and SW Cameroon,,
440,,,Subspecies,Guttera pucherani barbata,Crested Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,889,,Guttera pucherani barbata,,"Grouse, Quail, and Allies",Guttera pucherani barbata,Crested Guineafowl,011-001-004-002-005,,,,,,,,,se Tanzania to n Mozambique and Malawi,,SE Tanzania to e Mozambique and Malawi,"SE Tanzania, N Mozambique, Malawi",,
441,,,Subspecies,Guttera pucherani edouardi,Crested Guineafowl,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,890,,Guttera pucherani edouardi,,"Grouse, Quail, and Allies",Guttera pucherani edouardi,Crested Guineafowl,011-001-004-002-004,,,,,,,,,e Zambia to s Mozambique and South Africa,,E Zambia to Mozambique and ne South Africa,E Zambia to S Mozambique and KwaZulu-Natal,,
443,28,1260,Species,Acryllium vulturinum,Vulturine Guineafowl,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Numididae,879,vulgui1,Acryllium vulturinum,Vulturine Guineafowl,"Grouse, Quail, and Allies",Acryllium vulturinum,Vulturine Guineafowl,011-001-003-001,Acryllium vulturinum,Vulturine Guineafowl,,22679572,,,203,4,AF : Ethiopia and Somalia to Tanzania,,Arid acacia scrub of s Ethiopia and Somalia to ne Tanzania,"S Ethiopia, S Somalia, E Kenya, NE Tanzania",,
447,30,1250,Species,Ptilopachus petrosus,Stone Partridge,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Odontophoridae,891,stopar1,Ptilopachus petrosus,Stone Partridge,"Grouse, Quail, and Allies",Ptilopachus petrosus,Stone Partridge,012-001-001-001,Ptilopachus petrosus,Stone Partridge,,22679110,,,182,5,AF : w,,,,,
448,,,Subspecies,Ptilopachus petrosus petrosus,Stone Partridge,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Odontophoridae,892,stopar2,Ptilopachus petrosus petrosus,Stone Partridge (Stone),"Grouse, Quail, and Allies",Ptilopachus petrosus petrosus,Stone Partridge,012-001-001-001-001,,,,,,,,,Gambia to Cameroon,,"Senegambia east to central Sudan, northeastern Democratic Republic of the Congo, northern Uganda, northern Kenya, and south central Ethiopia","C Mauritania to Guinea, east to Cameroon",,
449,,,Subspecies,Ptilopachus petrosus brehmi,Stone Partridge,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Odontophoridae,,,,,,Ptilopachus petrosus brehmi,Stone Partridge,012-001-001-001-002,,,,,,,,,s Chad to c Sudan,,,Lake Chad to W and S Sudan,,
450,,,Subspecies,Ptilopachus petrosus major,Stone Partridge,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Odontophoridae,893,stopar3,Ptilopachus petrosus major,Stone Partridge (Ethiopian),"Grouse, Quail, and Allies",Ptilopachus petrosus major,Stone Partridge,012-001-001-001-003,,,,,,,,,n Ethiopia,,northern Eritrea and northwestern Ethiopia,"W Eritrea, N Ethiopia",,
451,,,Subspecies,Ptilopachus petrosus florentiae,Stone Partridge,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Odontophoridae,,,,,,Ptilopachus petrosus florentiae,Stone Partridge,012-001-001-001-004,,,,,,,,,"s Sudan and s Ethiopia to ne DR Congo, n Uganda and c Kenya",,,"South Sudan and S Ethiopia to NE DR Congo, N Uganda and C Kenya",,
847,41,173,Species,Peliperdix coqui,Coqui Francolin,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1357,coqfra2,Peliperdix coqui,Coqui Francolin,"Grouse, Quail, and Allies",Peliperdix coqui,Coqui Francolin,013-005-003-001,Peliperdix coqui,Coqui Francolin,Peliperdix coqui (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.,22678736,,,183,6,AF : widespread,,,,,
848,,,Subspecies,Peliperdix coqui spinetorum,Coqui Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1359,,Peliperdix coqui spinetorum,,"Grouse, Quail, and Allies",Peliperdix coqui spinetorum,Coqui Francolin,013-005-003-001-001,,,,,,,,,Mauritania and Mali to n Nigeria,,Mali to Nigeria and Angola,S Mauritania to N Nigeria,,
849,,,Subspecies,Peliperdix coqui maharao,Coqui Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1360,,Peliperdix coqui maharao,,"Grouse, Quail, and Allies",Peliperdix coqui maharao,Coqui Francolin,013-005-003-001-002,,,,,,,,,"s Ethiopia, c and e Kenya",,"Ethiopia to s Uganda, Kenya and n Tanzania",S Ethiopia to C and E Kenya,,
850,,,Subspecies,Peliperdix coqui hubbardi,Coqui Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1361,,Peliperdix coqui hubbardi,,"Grouse, Quail, and Allies",Peliperdix coqui hubbardi,Coqui Francolin,013-005-003-001-003,,,,,,,,,"w and s Kenya, n Tanzania",,W and s Kenya to central Tanzania,"W and S Kenya, N Tanzania",,
851,,,Subspecies,Peliperdix coqui coqui,Coqui Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1362,coqfra3,Peliperdix coqui coqui,Coqui Francolin (Bar-breasted),"Grouse, Quail, and Allies",Peliperdix coqui coqui,Coqui Francolin,013-005-003-001-004,,,,,SSP,"Includes angolensis and vernayi. McGowan, 1994, Hockey et al., 2005.",,,"Gabon, DR Congo to s Kenya and Uganda, south to South Africa",,"Democratic Republic of the Congo to central and northwestern Tanzania, and south to northern Namibia, Botswana, and eastern South Africa (south to KwaZulu-Natal)","S DR Congo, Uganda, NW and NE Tanzania and coastal Kenya south to N and E Zambia, Zimbabwe, E South Africa.",,
858,42,1256,Species,Scleroptila streptophora,Ring-necked Francolin,,Near Threatened,,,,,,,,,,TRUE,,,,,,,,,,,,,,galliformes, Phasianidae,1375,rinfra2,Scleroptila streptophora,Ring-necked Francolin,"Grouse, Quail, and Allies",Scleroptila streptophora,Ring-necked Francolin,013-005-004-001,Scleroptila streptophora,Ring-necked Francolin,Scleroptila streptophora (del Hoyo and Collar 2014) was previously placed in the genus Francolinus as F. streptophorus.,22678756,,,185,7,"AF : Cameroon, Uganda, Kenya and Tanzania",,Southwest Cameroon; w Uganda to w Kenya and nw Tanzania,"N Cameroon; W Kenya, N and C Uganda to NW Tanzania",,
860,43,178,Species,Scleroptila levaillantii,Red-winged Francolin,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1372,rewfra2,Scleroptila levaillantii,Red-winged Francolin,"Grouse, Quail, and Allies",Scleroptila levaillantii,Red-winged Francolin,013-005-004-002,Scleroptila levaillantii,Red-winged Francolin,Scleroptila levaillantii (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.,22678769,,,186,8,"AF : ec, sc, s",,,,,
861,,,Subspecies,Scleroptila levaillantii kikuyuensis,Red-winged Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1373,,Scleroptila levaillantii kikuyuensis,,"Grouse, Quail, and Allies",Scleroptila levaillantii kikuyuensis,Red-winged Francolin,013-005-004-002-001,,,,,,,,,e DR Congo to wc Kenya south to Angola and Zambia,,"Angola to eastern Democratic Republic of the Congo, west central Kenya, and Zambia",E DR Congo to WC Kenya,,
862,,,Subspecies,Scleroptila levaillantii crawshayi,Red-winged Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,,,,,,Scleroptila levaillantii crawshayi,Red-winged Francolin,013-005-004-002-002,,,,,,,,,n Malawi,,,"Highlands of NE Zambia, N Malawi",,
863,,,Subspecies,Scleroptila levaillantii levaillantii,Red-winged Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1374,,Scleroptila levaillantii levaillantii,,"Grouse, Quail, and Allies",Scleroptila levaillantii levaillantii,Red-winged Francolin,013-005-004-002-004,,,,,,,,,"Zimbabwe, e South Africa",,Malawi and ne Zambia to e South Africa,E and S South Africa (Mpumalanga and Gauteng to Eastern Cape and SE Western Cape),,
865,44,177,Species,Scleroptila shelleyi,Shelley's Francolin,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1387,shefra2,Scleroptila shelleyi,Shelley's Francolin,"Grouse, Quail, and Allies",Scleroptila shelleyi,Shelley's Francolin,013-005-004-006,Scleroptila shelleyi,Shelley's Francolin,"Scleroptila shelleyi and S. whytei (del Hoyo and Collar 2014) were previously placed in the genus Francolinus and lumped as F. shelleyi following Sibley and Monroe (1990, 1993).",22728223,,,188,9,"AF : e, se",,,,,
866,,,Subspecies,Scleroptila shelleyi uluensis,Shelley's Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,,,,,,Scleroptila shelleyi uluensis,Shelley's Francolin,013-005-004-006-001,,,,,,,,,"c and s Kenya, n Tanzania",,,"C and S Kenya, N Tanzania",,
867,,,Subspecies,Scleroptila shelleyi macarthuri,Shelley's Francolin,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,,,,,,Scleroptila shelleyi macarthuri,Shelley's Francolin,013-005-004-006-002,,,,,,,,,Chyulu Hills  (se Kenya),,,"Chyulu Range (SE Kenya) [van Someren, 1938 #3940]",,
868,,,Subspecies,Scleroptila shelleyi shelleyi,Shelley's Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1388,shefra1,Scleroptila shelleyi shelleyi,Shelley's Francolin (Shelley's),"Grouse, Quail, and Allies",Scleroptila shelleyi shelleyi,Shelley's Francolin,013-005-004-006-003,,,,,SSP,"Includes canidorsalis. Hockey et al., 2005.",,,"s Uganda and c Tanzania to n South Africa, w Mozambique",,S Uganda and sw Kenya to ne South Africa,S Uganda and C Tanzania to NE and E South Africa,,
869,,,Subspecies,Scleroptila shelleyi whytei,Shelley's Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1389,shefra3,Scleroptila shelleyi whytei,Shelley's Francolin (Whyte's),"Grouse, Quail, and Allies",Scleroptila shelleyi whytei,Shelley's Francolin,013-005-004-006-004,,,,,,,,,"se DR Congo, Zambia, n Malawi",,southeastern Democratic Republic of the Congo to northern Zambia and northern Malawi,"SE DR Congo, Zambia, N Malawi",,
870,,1254,Species,Scleroptila psilolaema,Moorland Francolin,,Near Threatened,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1384,moofra2,Scleroptila psilolaema,Moorland Francolin,"Grouse, Quail, and Allies",Scleroptila psilolaema,Moorland Francolin,013-005-004-005,Scleroptila psilolaema,Moorland Francolin,"Scleroptila psilolaema and S. elgonensis (del Hoyo and Collar 2014) were previously placed in the genus Francolinus and lumped as F. psilolaemus following Sibley and Monroe (1990, 1993).",22727339,,,,,AF : e,,,,,
871,,,Subspecies,Scleroptila psilolaema psilolaema,Moorland Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1385,moofra1,Scleroptila psilolaema psilolaema,Moorland Francolin (Moorland),"Grouse, Quail, and Allies",Scleroptila psilolaema psilolaema,Moorland Francolin,013-005-004-005-001,,,,,,,,,c and s Ethiopia,,Montane moorlands of central and s Ethiopia,C Ethiopia,,
872,45,,Subspecies,Scleroptila psilolaema elgonensis,Moorland Francolin,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1386,moofra3,Scleroptila psilolaema elgonensis,Moorland Francolin (Elgon),"Grouse, Quail, and Allies",Scleroptila psilolaema elgonensis,Moorland Francolin,013-005-004-005-002,,,,,PS,BLI splits Elgon Francolin from Moorland Francolin (BLI Globally Threatened Bird Forums 8 March 2013),,,e Uganda to c Kenya,,Montane moorlands of e Uganda to central Kenya,E Uganda to C Kenya, The treatment of Elgon Francolin as a separate species from Moorland Francolin (as listed in the 29 checklist) has been documented in Hunter et al. (219),
873,46,1268,Species,Scleroptila gutturalis,Orange River Francolin,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1377,orrfra2,Scleroptila gutturalis,Orange River Francolin,"Grouse, Quail, and Allies",Scleroptila gutturalis,Orange River Francolin,013-005-004-007,Scleroptila gutturalis,Orange River Francolin,Scleroptila gutturalis (del Hoyo and Collar 2014) was previously placed in the genus Francolinus and listed as F. levaillantoides; the name gutturalis has priority.,22678790,TAX,"gutturalis (R¸ppell, 1835) has priority over levalliantoides (Smith, A, 1836) when the two are considered conspecific as treated here.",,,"AF : ne, s",,,,"The wrong protocol was followed in the 29 Checklist, using Orange River Francolin Francolinus levalliantoides, given that gutturalis was described prior to levalliantoides (Turner & Pearson, 215)",
874,,,Subspecies,Scleroptila gutturalis gutturalis,Orange River Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1379,,Scleroptila gutturalis gutturalis,,"Grouse, Quail, and Allies",Scleroptila gutturalis gutturalis,Orange River Francolin,013-005-004-007-001,,,,,,,,,"Eritrea, n Ethiopia",,N Ethiopia,"N Eritrea, N Ethiopia",,
875,,,Subspecies,Scleroptila gutturalis archeri,Orange River Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,,,,,,Scleroptila gutturalis archeri,Orange River Francolin,013-005-004-007-003,,,,,,,,,"s Ethiopia, se Sudan, n Uganda, nw Kenya",,,"S Ethiopia, E South Sudan, N Uganda, NW Kenya",,
876,,,Subspecies,Scleroptila gutturalis lorti,Orange River Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1380,,Scleroptila gutturalis lorti,,"Grouse, Quail, and Allies",Scleroptila gutturalis lorti,Orange River Francolin,013-005-004-007-002,,,,,PS,"""Archer's Francolin""  has distinct genetics and morphology (Mandiwana-Neudani et al. MS, Crowe, Bowie comm); levalliantoides has priority over lorti if split",,,n Somalia,,"Uganda to Sudan, s Ethiopia and Somalia","E Ethiopia, N Somalia",,
877,,,Subspecies,Scleroptila gutturalis jugularis,Orange River Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1381,orrfra3,Scleroptila gutturalis jugularis,Orange River Francolin (Kalahari),"Grouse, Quail, and Allies",Scleroptila gutturalis jugularis,Orange River Francolin,013-005-004-007-004,,,,,,,,,sw Angola,,Kalahari Desert of n Namibia to sw Angola,SW Angola,,
878,,,Subspecies,Scleroptila gutturalis pallidior,Orange River Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,,,,,,Scleroptila gutturalis pallidior,Orange River Francolin,013-005-004-007-005,,,,,,,,,n Namibia,,,"N Namibia, N and W Botswana",,
879,,,Subspecies,Scleroptila gutturalis levalliantoides,Orange River Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1382,orrfra4,Scleroptila gutturalis levalliantoides,Orange River Francolin (Orange River),"Grouse, Quail, and Allies",Scleroptila gutturalis levalliantoides,Orange River Francolin,013-005-004-007-006,,,,,TAX,"Change frequently used levaillantoides to original spelling levalliantoides. Zoonomen, H&M 4.",,,e Namibia and s Botswana to c South Africa,,"S Botswana to e Namibia, Lesotho and n South Africa","E Namibia, S Botswana, N and C South Africa, Lesotho [Smith, 1836 #3659]",,
881,40,174,Species,Dendroperdix sephaena,Crested Francolin,,Least Concern,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1335,crefra2,Dendroperdix sephaena,Crested Francolin,"Grouse, Quail, and Allies",Dendroperdix sephaena,Crested Francolin,013-005-002-001,Dendroperdix sephaena,Crested Francolin,Dendroperdix sephaena (del Hoyo and Collar 2014) was previously placed in the genus Francolinus.,22678752,,,190,12,"AF : e, se",,,,,
882,,,Subspecies,Dendroperdix sephaena grantii,Crested Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1338,,Dendroperdix sephaena grantii,,"Grouse, Quail, and Allies",Dendroperdix sephaena grantii,Crested Francolin,013-005-002-001-002,,,,,,,,,s Sudan and w Ethiopia to nc Tanzania,,South Sudan and western Ethiopia to north central Tanzania,"South Sudan, W Ethiopia to NC Tanzania",,
883,,,Subspecies,Dendroperdix sephaena rovuma,Crested Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1336,crefra1,Dendroperdix sephaena rovuma,Crested Francolin (Kirk's),"Grouse, Quail, and Allies",Dendroperdix sephaena rovuma,Crested Francolin,013-005-002-001-003,,,,,,,,,e Kenya to n Mozambique,,Coastal Kenya and Tanzania to n Mozambique,Coastal S Somalia and coastal Kenya to N Mozambique,,
884,,,Subspecies,Dendroperdix sephaena spilogaster,Crested Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1339,,Dendroperdix sephaena spilogaster,,"Grouse, Quail, and Allies",Dendroperdix sephaena spilogaster,Crested Francolin,013-005-002-001-001,,,,,,,,,"e Ethiopia, Somalia, ne Kenya",,E Ethiopia to Somalia and ne Kenya,"E Ethiopia, N Somalia, NE Kenya",,
885,,,Subspecies,Dendroperdix sephaena zambesiae,Crested Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1341,,Dendroperdix sephaena zambesiae,,"Grouse, Quail, and Allies",Dendroperdix sephaena zambesiae,Crested Francolin,013-005-002-001-004,,,,,,,,,wc Mozambique to Namibia and s Angola,,W-central Mozambique to nw Namibia and s Angola,WC Mozambique to S Angola and Namibia,,
886,,,Subspecies,Dendroperdix sephaena sephaena,Crested Francolin,,,,,,,,,,,,,,,,,,,,,,,,,,galliformes, Phasianidae,1340,,Dendroperdix sephaena sephaena,,"Grouse, Quail, and Allies",Dendroperdix sephaena sephaena,Crested Francolin,013-005-002-001-005,,,,,,,,,"e Zimbabwe to se Botswana, s Mozambique and ne South Africa",,E Zimbabwe to se Botswana and ne South Africa,"SE Botswana, SE Zimbabwe to S Mozambique and NE South Africa",,
