ID,Sequence,SAFRING_No,avibase_id,ADU_No,Odr,Family,Genus,Species,Common_family,Common_group,Common_species,Split status,UO comment,BL comment,,
2295,958,46,avibase-5EC21767,52,Ciconiiformes,Sulidae,Sula,leucogaster,"Gannets, Boobies",Booby,Brown,,,,,
1801,967,47,avibase-B38FDD3E,55,Ciconiiformes,Phalacrocoracidae,Phalacrocorax,lucidus,"Cormorants, Shags",Cormorant,White-breasted,,,,,
1799,966,48,avibase-AE61BF48,56,Ciconiiformes,Phalacrocoracidae,Phalacrocorax,capensis,"Cormorants, Shags",Cormorant,Cape,,,,,
1802,969,49,avibase-37D2AC51,57,Ciconiiformes,Phalacrocoracidae,Phalacrocorax,neglectus,"Cormorants, Shags",Cormorant,Bank,,,,,
1530,961,50,avibase-E255DCE1,58,Ciconiiformes,Phalacrocoracidae,Microcarbo,africanus,,Cormorant,Reed,,,,,
1531,968,51,avibase-446E8F9D,59,Ciconiiformes,Phalacrocoracidae,Microcarbo,coronatus,,Cormorant,Crowned,,,,,
123,960,52,avibase-5C7936A7,60,Ciconiiformes,Anhingidae,Anhinga,rufa,"Anhingas, Darters",Darter,African,,,,,
1094,1030,53,avibase-788EBCAB,61,Ciconiiformes,Fregatidae,Fregata,minor,Frigatebirds,Frigatebird,Great,,,,,
229,973,54,avibase-6429024D,62,Ciconiiformes,Ardeidae,Ardea,cinerea,"Herons, Bitterns",Heron,Grey,,,,,
233,976,55,avibase-25A648FE,63,Ciconiiformes,Ardeidae,Ardea,melanocephala,"Herons, Bitterns",Heron,Black-headed,,,,,
230,974,56,avibase-C7888A15,64,Ciconiiformes,Ardeidae,Ardea,goliath,"Herons, Bitterns",Heron,Goliath,,,,,
234,977,57,avibase-3395DCF1,65,Ciconiiformes,Ardeidae,Ardea,purpurea,"Herons, Bitterns",Heron,Purple,,,,,
228,984,58,avibase-49D9148A,66,Ciconiiformes,Ardeidae,Ardea,alba,"Herons, Bitterns",Egret,Great,,,,,
935,989,59,avibase-4713982B,67,Ciconiiformes,Ardeidae,Egretta,garzetta,"Herons, Bitterns",Egret,Little,,,,,
348,982,61,avibase-AB1CB216,71,Ciconiiformes,Ardeidae,Ardea,ibis,"Herons, Bitterns",Egret,Western Cattle,,Changed genus to Ardea,Done,,
241,979,62,avibase-CE73EBD7,72,Ciconiiformes,Ardeidae,Ardeola,ralloides,"Herons, Bitterns",Heron,Squacco,,,,,
373,983,63,avibase-78B4A393,74,Ciconiiformes,Ardeidae,Butorides,striata,"Herons, Bitterns",Heron,Striated,,,,,
932,986,64,avibase-74853F89,69,Ciconiiformes,Ardeidae,Egretta,ardesiaca,"Herons, Bitterns",Heron,Black,,,,,
242,980,65,avibase-AEB2DA9B,75,Ciconiiformes,Ardeidae,Ardeola,rufiventris,"Herons, Bitterns",Heron,Rufous-bellied,,,,,
1274,996,66,avibase-87EEBD3E,79,Ciconiiformes,Ardeidae,Ixobrychus,sturmii,"Herons, Bitterns",Bittern,Dwarf,,,,,
1272,994,67,avibase-7AAD57AC,78,Ciconiiformes,Ardeidae,Ixobrychus,minutus,"Herons, Bitterns",Bittern,Little,,,,,
1466,1037,68,avibase-9DF07165,0,Ciconiiformes,Spheniscidae,Megadyptes,antipodes,Penguins,Penguin,Yellow-eyed,,,,,
1663,997,69,avibase-6BB94D7E,76,Ciconiiformes,Ardeidae,Nycticorax,nycticorax,"Herons, Bitterns",Night Heron,Black-crowned,,,,,
1147,993,70,avibase-3C12AA44,77,Ciconiiformes,Ardeidae,Gorsachius,leuconotus,"Herons, Bitterns",Night Heron,White-backed,,,,,
317,981,71,avibase-0F42F11A,80,Ciconiiformes,Ardeidae,Botaurus,stellaris,"Herons, Bitterns",Bittern,Eurasian,,,,,
2204,999,72,avibase-FC10F6ED,81,Ciconiiformes,Scopidae,Scopus,umbretta,Hamerkop,,Hamerkop,,,,,
1372,1024,73,avibase-03C0F97C,89,Ciconiiformes,Ciconiidae,Leptoptilos,crumenifer,Storks,Stork,Marabou,,,,,
121,1018,74,avibase-0F14ECE4,87,Ciconiiformes,Ciconiidae,Anastomus,lamelligerus,Storks,Openbill,African,,,,,
971,1023,75,avibase-3D155653,88,Ciconiiformes,Ciconiidae,Ephippiorhynchus,senegalensis,Storks,Stork,Saddle-billed,,,,,
1594,1025,76,avibase-4F92C892,90,Ciconiiformes,Ciconiidae,Mycteria,ibis,Storks,Stork,Yellow-billed,,,,,
589,1019,78,avibase-26CD0319,85,Ciconiiformes,Ciconiidae,Ciconia,abdimii,Storks,Stork,Abdim's,,,,,
592,1022,79,avibase-E2817DAE,84,Ciconiiformes,Ciconiidae,Ciconia,nigra,Storks,Stork,Black,,,,,
590,1020,80,avibase-28825494,83,Ciconiiformes,Ciconiidae,Ciconia,ciconia,Storks,Stork,White,,,,,
2396,1013,81,avibase-550DE745,91,Ciconiiformes,Threskiornithidae,Threskiornis,aethiopicus,"Ibises, Spoonbills",Ibis,African Sacred,,,,,
1132,1007,82,avibase-645134D3,92,Ciconiiformes,Threskiornithidae,Geronticus,calvus,"Ibises, Spoonbills",Ibis,Southern Bald,,,,,
1890,1012,83,avibase-D4540F88,93,Ciconiiformes,Threskiornithidae,Plegadis,falcinellus,"Ibises, Spoonbills",Ibis,Glossy,,,,,
314,1004,84,avibase-CAFBA217,94,Ciconiiformes,Threskiornithidae,Bostrychia,hagedash,"Ibises, Spoonbills",Ibis,Hadada,,,,,
1877,1010,85,avibase-F86BB1D3,95,Ciconiiformes,Threskiornithidae,Platalea,alba,"Ibises, Spoonbills",Spoonbill,African,,,,,
1817,1001,86,avibase-0F9B5174,96,Ciconiiformes,Phoenicopteridae,Phoenicopterus,roseus,Flamingos,Flamingo,Greater,,,,,
1816,1000,87,avibase-B06A9079,97,Ciconiiformes,Phoenicopteridae,Phoeniconaias,minor,,Flamingo,Lesser,,,,,
1889,113,88,avibase-EB01B24C,116,Anseriformes,Anatidae,Plectropterus,gambensis,"Ducks, Geese and Swans",Goose,Spur-winged,,,,,
81,62,89,avibase-DA2F24E3,102,Anseriformes,Anatidae,Alopochen,aegyptiaca,"Ducks, Geese and Swans",Goose,Egyptian,,,,,
2337,116,90,avibase-D9DEA77E,103,Anseriformes,Anatidae,Tadorna,cana,"Ducks, Geese and Swans",Shelduck, South African,,,,,
2175,115,91,avibase-3948131B,115,Anseriformes,Anatidae,Sarkidiornis,melanotos,"Ducks, Geese and Swans",Duck,Knob-billed,,,,,
1644,109,92,avibase-EC7C1618,114,Anseriformes,Anatidae,Nettapus,auritus,"Ducks, Geese and Swans",Goose,African Pygmy ,,,,,
105,67,93,avibase-ED4CE8E7,111,Anseriformes,Anatidae,Anas,clypeata,,Shoveler,Northern,,,,,
117,77,94,avibase-4670CF43,112,Anseriformes,Anatidae,Anas,smithii,,Shoveler,Cape,,,,,
118,78,95,avibase-1EAFAD9F,105,Anseriformes,Anatidae,Anas,sparsa,"Ducks, Geese and Swans",Duck,African Black,,,,,
120,80,96,avibase-7F64AD87,104,Anseriformes,Anatidae,Anas,undulata,"Ducks, Geese and Swans",Duck,Yellow-billed,,,,,
107,70,97,avibase-8F6876AC,108,Anseriformes,Anatidae,Anas,erythrorhyncha,"Ducks, Geese and Swans",Teal,Red-billed,,,,,
103,66,98,avibase-25DA0F41,106,Anseriformes,Anatidae,Anas,capensis,"Ducks, Geese and Swans",Teal,Cape,,,,,
109,72,99,avibase-FA831F65,107,Anseriformes,Anatidae,Anas,hottentota,,Teal,Blue-billed,,,,,
