ID,Sequence,SAFRING_No,avibase_id,ADU_No,Odr,Family,Genus,Species,Common_family,Common_group,Common_species,Split status,UO comment,BL comment,,
1948,2485,800,avibase-86BEAFA6,817,Passeriformes,Ploceidae,Ploceus,subaureus,"Weavers, Widowbirds",Weaver,Eastern Golden,,,,,
1957,2492,801,avibase-2D86B0D2,816,Passeriformes,Ploceidae,Ploceus,xanthops,"Weavers, Widowbirds",Weaver,Holub's Golden,,,,,
1958,2493,802,avibase-E72166BD,818,Passeriformes,Ploceidae,Ploceus,xanthopterus,"Weavers, Widowbirds",Weaver,Southern Brown-throated,,,,,
1954,2490,803,avibase-A36C5049,814,Passeriformes,Ploceidae,Ploceus,velatus,"Weavers, Widowbirds",Weaver,Southern Masked,,,,,
90,2263,804,avibase-C7708C70,807,Passeriformes,Ploceidae,Amblyospiza,albifrons,"Weavers, Widowbirds",Weaver,Thick-billed,,,,,
2143,2509,805,avibase-2B6DE136,821,Passeriformes,Ploceidae,Quelea,quelea,"Weavers, Widowbirds",Quelea,Red-billed,,,,,
2142,2508,806,avibase-F8041931,822,Passeriformes,Ploceidae,Quelea,erythrops,"Weavers, Widowbirds",Quelea,Red-headed,,,,,
2141,2507,807,avibase-9387DC41,0,Passeriformes,Ploceidae,Quelea,cardinalis,"Weavers, Widowbirds",Quelea,Cardinal,,,,,
1029,2336,808,avibase-95F08BC3,824,Passeriformes,Ploceidae,Euplectes,orix,"Weavers, Widowbirds",Red Bishop,Southern,,,,,
1025,2332,809,avibase-7B414273,825,Passeriformes,Ploceidae,Euplectes,hordeaceus,"Weavers, Widowbirds",Red Bishop,Black-winged,,,,,
1020,2327,810,avibase-97A73D9F,827,Passeriformes,Ploceidae,Euplectes,capensis,"Weavers, Widowbirds",Bishop,Yellow,,,,,
1941,2439,811,avibase-A23369E3,0,Passeriformes,Ploceidae,Ploceus,reichardi,"Weavers, Widowbirds",Weaver,Tanzanian Masked,,,,,
1015,2322,812,avibase-4A58452B,826,Passeriformes,Ploceidae,Euplectes,afer,"Weavers, Widowbirds",Bishop,Yellow-crowned,,,,,
1017,2324,813,avibase-26618AA1,831,Passeriformes,Ploceidae,Euplectes,ardens,"Weavers, Widowbirds",Widowbird,Red-collared,,,,,
1016,2323,814,avibase-749E7B3C,829,Passeriformes,Ploceidae,Euplectes,albonotatus,"Weavers, Widowbirds",Widowbird,White-winged,,,,,
1027,2334,815,avibase-F5E0EA0D,830,Passeriformes,Ploceidae,Euplectes,macroura,,Widowbird,Yellow-mantled,,,,,
1019,2326,816,avibase-B08FF959,828,Passeriformes,Ploceidae,Euplectes,axillaris,"Weavers, Widowbirds",Widowbird,Fan-tailed,,,,,
1006,2319,817,avibase-6DD8F10F,0,Passeriformes,Estrildidae,Estrilda,rhodopyga,"Waxbills, Munias and allies",Waxbill,Crimson-rumped,,,,,
1030,2337,818,avibase-3153FE22,832,Passeriformes,Ploceidae,Euplectes,progne,"Weavers, Widowbirds",Widowbird,Long-tailed,,,,,
2130,2499,819,avibase-A24ED820,837,Passeriformes,Estrildidae,Pyrenestes,minor,"Waxbills, Munias and allies",Seedcracker,Lesser,,,,,
82,2259,820,avibase-13BE59E4,856,Passeriformes,Estrildidae,Amadina,erythrocephala,"Waxbills, Munias and allies",Finch,Red-headed,,,,,
84,2260,821,avibase-CDDA63E0,855,Passeriformes,Estrildidae,Amadina,fasciata,"Waxbills, Munias and allies",Finch,Cut-throat,,,,,
1394,2512,822,avibase-64E386FE,859,Passeriformes,Estrildidae,Lonchura,fringilloides,,Mannikin,Magpie,,,,,
1393,2511,823,avibase-142E4CB7,857,Passeriformes,Estrildidae,Lonchura,cucullata,,Mannikin,Bronze,,,,,
1395,2510,824,avibase-E358EC8A,858,Passeriformes,Estrildidae,Lonchura,nigriceps,,Mannikin,Red-backed,,,,,
713,2305,825,avibase-7CB6CE7B,850,Passeriformes,Estrildidae,Coccopygia,melanotis,,Waxbill,Swee,,,,,
714,2306,826,avibase-B9BE800C,851,Passeriformes,Estrildidae,Coccopygia,quartinia,,Waxbill,Yellow-bellied,,,,,
1461,2381,827,avibase-1A6B766A,835,Passeriformes,Estrildidae,Mandingoa,nitidula,"Waxbills, Munias and allies",Twinspot,Green,,,,,
852,2301,828,avibase-E034D9D9,836,Passeriformes,Estrildidae,Cryptospiza,reichenovii,"Waxbills, Munias and allies",Crimsonwing,Red-faced,,,,,
2136,2503,829,avibase-6A1ED1C2,833,Passeriformes,Estrildidae,Pytilia,afra,"Waxbills, Munias and allies",Pytilia,Orange-winged,,,,,
2139,2505,830,avibase-01A3BE3C,834,Passeriformes,Estrildidae,Pytilia,melba,"Waxbills, Munias and allies",Pytilia,Green-winged,,,,,
1229,2348,831,avibase-7970DC5F,838,Passeriformes,Estrildidae,Hypargos,margaritatus,"Waxbills, Munias and allies",Twinspot,Pink-throated,,,,,
1230,2349,832,avibase-50490520,839,Passeriformes,Estrildidae,Hypargos,niveoguttatus,"Waxbills, Munias and allies",Twinspot,Red-throated,,,,,
1289,2358,833,avibase-A6034D7F,840,Passeriformes,Estrildidae,Lagonosticta,rubricata,"Waxbills, Munias and allies",Firefinch,African,,,,,
837,2619,834,avibase-DE9A742B,0,Passeriformes,Fringillidae,Crithagra,reichardi,,Seedeater,Reichard's,,,,,
1288,2357,835,avibase-871F32D9,841,Passeriformes,Estrildidae,Lagonosticta,rhodopareia,"Waxbills, Munias and allies",Firefinch,Jameson's,,,,,
1286,2355,836,avibase-995975D1,843,Passeriformes,Estrildidae,Lagonosticta,nitidula,"Waxbills, Munias and allies",Firefinch,Brown,,,,,
1292,2360,837,avibase-B4A4E4BF,842,Passeriformes,Estrildidae,Lagonosticta,senegala,"Waxbills, Munias and allies",Firefinch,Red-billed,,,,,
86,2262,838,avibase-ECC40D44,854,Passeriformes,Estrildidae,Amandava,subflava,"Waxbills, Munias and allies",Waxbill,Orange-breasted,,,,,
2494,2522,839,avibase-B40A6BCD,844,Passeriformes,Estrildidae,Uraeginthus,angolensis,"Waxbills, Munias and allies",Waxbill,Blue,,,,,
2497,2521,840,avibase-E247988F,845,Passeriformes,Estrildidae,Uraeginthus,granatinus,,Waxbill,Violet-eared,,,,,
335,2314,841,avibase-842FF43C,847,Passeriformes,Estrildidae,Brunhilda,erythronotos,"Waxbills, Munias and allies",Waxbill,Black-faced,,,,,
1140,2318,842,avibase-BC75EA9A,848,Passeriformes,Estrildidae,Glaucestrilda,perreini,"Waxbills, Munias and allies",Waxbill,Grey,,,,,
997,2311,843,avibase-61CB98C0,846,Passeriformes,Estrildidae,Estrilda,astrild,"Waxbills, Munias and allies",Waxbill,Common,,,,,
1719,2399,844,avibase-8E5252EB,852,Passeriformes,Estrildidae,Ortygospiza,atricollis,"Waxbills, Munias and allies",,Quailfinch,,"Keep this, delete #9245","If SBAP2 keeps it, we will keep it",,
1747,2400,845,avibase-EF6293B7,853,Passeriformes,Estrildidae,Paludipasser,locustella,,Finch,Locust,,,,,
2532,2537,846,avibase-673E66F0,860,Passeriformes,Viduidae,Vidua,macroura,"Indigobirds, Whydahs",Whydah,Pin-tailed,,,,,
2540,2543,847,avibase-019E8CA3,861,Passeriformes,Viduidae,Vidua,regia,"Indigobirds, Whydahs",Whydah,Shaft-tailed,,,,,
915,1053,848,avibase-D93548A7,0,Ciconiiformes,Diomedeidae,Diomedea,amsterdamensis,Albatrosses,Albatross,Amsterdam,,,,,
2528,2534,849,avibase-49EF9657,864,Passeriformes,Viduidae,Vidua,funerea,"Indigobirds, Whydahs",Indigobird,Dusky,,,,,
2538,2541,850,avibase-2AA13F1D,865,Passeriformes,Viduidae,Vidua,purpurascens,"Indigobirds, Whydahs",Indigobird,Purple,,,,,
2525,2532,851,avibase-BA01A793,867,Passeriformes,Viduidae,Vidua,chalybeata,"Indigobirds, Whydahs",Indigobird,Village,,,,,
2537,2540,852,avibase-ACF0F1A2,862,Passeriformes,Viduidae,Vidua,paradisaea,"Indigobirds, Whydahs",Whydah,Long-tailed Paradise,,,,,
2535,2538,853,avibase-C1A42CCA,863,Passeriformes,Viduidae,Vidua,obtusa,"Indigobirds, Whydahs",Whydah,Broad-tailed Paradise,,,,,
124,2265,854,avibase-C97A5C39,820,Passeriformes,Viduidae,Anomalospiza,imberbis,"Indigobirds, Whydahs",,Cuckoo-finch,,,,,
844,2586,855,avibase-0B5B5E28,874,Passeriformes,Fringillidae,Crithagra,totta,,Siskin,Cape,,,,,
843,2587,856,avibase-875794B9,875,Passeriformes,Fringillidae,Crithagra,symonsi,,Siskin,Drakensberg,,,,,
2211,2608,857,avibase-E6C3FA67,872,Passeriformes,Fringillidae,Serinus,canicollis,Finches,Canary,Cape,,,,,
840,2629,858,avibase-994D87C2,873,Passeriformes,Fringillidae,Crithagra,scotops,,Canary,Forest,,,,,
836,2625,859,avibase-169B483C,869,Passeriformes,Fringillidae,Crithagra,mozambica,,Canary,Yellow-fronted,,,,,
815,2606,860,avibase-D12CDD0F,870,Passeriformes,Fringillidae,Crithagra,atrogularis,,Canary,Black-throated,,,,,
2209,2603,861,avibase-CA9E354B,876,Passeriformes,Fringillidae,Serinus,alario,Finches,Canary,Black-headed,,,,,
2094,1097,862,avibase-7C787E7D,25,Ciconiiformes,Procellariidae,Pterodroma,lessonii,"Petrels, Shearwaters",Petrel,White-headed,,,,,
842,2632,863,avibase-53A5E91F,877,Passeriformes,Fringillidae,Crithagra,sulphurata,,Canary,Brimstone,,,,,
557,699,864,avibase-62AC9C19,899,Charadriiformes,Chionidae,Chionis,albus,Sheathbills,Sheathbill,Snowy,,,,,
813,2604,865,avibase-294A70CC,879,Passeriformes,Fringillidae,Crithagra,albogularis,,Canary,White-throated,,,,,
826,2617,866,avibase-4746346C,878,Passeriformes,Fringillidae,Crithagra,flaviventris,,Canary,Yellow,,,,,
828,2618,867,avibase-12E75955,881,Passeriformes,Fringillidae,Crithagra,gularis,,Seedeater,Streaky-headed,,,,,
835,2624,868,avibase-D5454426,882,Passeriformes,Fringillidae,Crithagra,mennelli,,Seedeater,Black-eared,,,,,
831,2621,869,avibase-D403BDAF,880,Passeriformes,Fringillidae,Crithagra,leucoptera,,Canary,Protea,,,,,
1097,2575,870,avibase-6364E4A5,868,Passeriformes,Fringillidae,Fringilla,coelebs,Finches,Chaffinch,Eurasian,,,,,
959,2565,871,avibase-6D102D72,887,Passeriformes,Fringillidae,Emberiza,impetuani,"Buntings, New World Sparrows and allies",Bunting,Lark-like,,,,,
968,2574,872,avibase-0C571D99,886,Passeriformes,Fringillidae,Emberiza,tahapisi,"Buntings, New World Sparrows and allies",Bunting,Cinnamon-breasted,,,,,
952,2558,873,avibase-DE27F1FA,885,Passeriformes,Fringillidae,Emberiza,capensis,"Buntings, New World Sparrows and allies",Bunting,Cape,,,,,
956,2563,874,avibase-D1C1A026,884,Passeriformes,Fringillidae,Emberiza,flaviventris,"Buntings, New World Sparrows and allies",Bunting,Golden-breasted,,,,,
949,2556,875,avibase-45059BE8,883,Passeriformes,Fringillidae,Emberiza,cabanisi,"Buntings, New World Sparrows and allies",Bunting,Cabanis's,,,,,
1815,1086,876,avibase-1819ECCE,16,Ciconiiformes,Diomedeidae,Phoebetria,palpebrata,Albatrosses,Albatross,Light-mantled,,,,,
2390,1121,877,avibase-53518617,20,Ciconiiformes,Procellariidae,Thalassoica,antarctica,"Petrels, Shearwaters",Petrel,Antarctic,,,,,
1743,1077,878,avibase-A819451A,4152,Ciconiiformes,Procellariidae,Pachyptila,salvini,"Petrels, Shearwaters",Prion,Salvin's,,,,,
1744,1078,879,avibase-ED1DDABB,31,Ciconiiformes,Procellariidae,Pachyptila,turtur,"Petrels, Shearwaters",Prion,Fairy,,,,,
1740,1074,880,avibase-0D885A80,30,Ciconiiformes,Procellariidae,Pachyptila,belcheri,"Petrels, Shearwaters",Prion,Slender-billed,,,,,
235,1104,881,avibase-08F22F84,36,Ciconiiformes,Procellariidae,Ardenna,carneipes,,Shearwater,Flesh-footed,,,,,
240,978,883,avibase-EA2C460A,73,Ciconiiformes,Ardeidae,Ardeola,idae,"Herons, Bitterns",Pond Heron,Malagasy,,,,,
882,100,884,avibase-694C127A,98,Anseriformes,Anatidae,Cygnus,olor,"Ducks, Geese and Swans",Swan,Mute,,,,,
116,76,885,avibase-F577BA0F,110,Anseriformes,Anatidae,Anas,querquedula,,,Garganey,,,,,
100,63,886,avibase-56CCA717,109,Anseriformes,Anatidae,Anas,acuta,"Ducks, Geese and Swans",Pintail,Northern,,,,,
1063,929,887,avibase-9A4AA945,176,Falconiformes,Falconidae,Falco,fasciinucha,"Caracaras, Falcons",Falcon,Taita,,,,,
1059,925,888,avibase-BD34FDFD,175,Falconiformes,Falconidae,Falco,concolor,"Caracaras, Falcons",Falcon,Sooty,,,,,
1054,920,889,avibase-3F2BA4F7,184,Falconiformes,Falconidae,Falco,ardosiaceus,"Caracaras, Falcons",Kestrel,Grey,,,,,
203,1031,890,avibase-58848B71,0,Ciconiiformes,Spheniscidae,Aptenodytes,forsteri,Penguins,Penguin,Emperor,,,,,
2181,627,891,avibase-32CE9C63,0,Gruiformes,Rallidae,Sarothrura,lugens,"Rails, Crakes and Coots",Flufftail,Chestnut-headed,,,,,
2178,624,892,avibase-EBA9F2C4,219,Gruiformes,Rallidae,Sarothrura,boehmi,"Rails, Crakes and Coots",Flufftail,Streaky-breasted,,,,,
2001,612,893,avibase-72A4F8EB,225,Gruiformes,Rallidae,Porphyrio,martinica,"Rails, Crakes and Coots",Gallinule,Purple,,,,,
1171,721,894,avibase-ED663165,243,Charadriiformes,Haematopodidae,Haematopus,ostralegus,Oystercatchers,Oystercatcher,Eurasian,,,,,
411,658,895,avibase-ACC99F35,279,Charadriiformes,Scolopacidae,Calidris,melanotos,"Sandpipers, Snipes",Sandpiper,Pectoral,,,,,
404,652,896,avibase-15369E8E,273,Charadriiformes,Scolopacidae,Calidris,alpina,"Sandpipers, Snipes",,Dunlin,,,,,
415,661,897,avibase-BBDF2F1B,276,Charadriiformes,Scolopacidae,Calidris,ruficollis,"Sandpipers, Snipes",Stint,Red-necked,,,,,
1138,751,898,avibase-AC0F25BB,0,Charadriiformes,Glareolidae,Glareola,ocularis,"Coursers, Pratincoles",Pratincole,Madagascan,,,,,
1241,787,900,avibase-A7F240E3,0,Charadriiformes,Laridae,Ichthyaetus,leucophthalmus,,Gull,White-eyed,,,,,
2544,793,901,avibase-86182656,318,Charadriiformes,Laridae,Xema,sabini,,Gull,Sabine's,,,,,
1121,810,902,avibase-87168739,321,Charadriiformes,Laridae,Gelochelidon,nilotica,,Tern,Gull-billed,,,,,
563,767,903,avibase-115AF02D,337,Charadriiformes,Laridae,Chlidonias,niger,"Gulls, Terns and Skimmers",Tern,Black,,,,,
2194,415,904,avibase-8439A6E7,420,Apodiformes,Apodidae,Schoutedenapus,myoptilus,Swifts,Swift,Scarce,,,,,
1981,202,905,avibase-5238FF10,472,Piciformes,Lybiidae,Pogoniulus,simplex,African Barbets,Tinkerbird,Green,,,,,
1263,128,906,avibase-5B74A911,477,Piciformes,Indicatoridae,Indicator,meliphilus,Honeyguides,Honeyguide,Pallid,,,,,
449,150,907,avibase-C5585051,482,Piciformes,Picidae,Campethera,scriptoricauda,Woodpeckers,Woodpecker,Speckle-throated,,,,,
1807,1644,908,avibase-6C7BEEC6,535,Passeriformes,Hirundinidae,Phedina,borbonica,"Swallows, Martins",Martin,Mascarene,,,,,
1711,1271,909,avibase-4321596C,546,Passeriformes,Oriolidae,Oriolus,chlorocephalus,"Figbirds, Orioles",Oriole,Green-headed,,,,,
588,1368,910,avibase-A27D752A,604,Passeriformes,Muscicapidae,Cichladusa,ruficauda,"Chats, Old World Flycatchers (320)",Thrush,Rufous-tailed Palm,,,,,
31,1912,911,avibase-3F0EE474,630,Passeriformes,Sylviidae,Acrocephalus,scirpaceus,Sylviid Babblers,Warbler,Eurasian Reed [x],,"Retired, replaced by #14242",,,
29,1910,912,avibase-C8857CC8,636,Passeriformes,Sylviidae,Acrocephalus,rufescens,Sylviid Babblers,Warbler,Greater Swamp,,,,,
2331,2060,913,avibase-A9030503,650,Passeriformes,Sylviidae,Sylvietta,whytii,Sylviid Babblers,Crombec,Red-faced,,,,,
2329,2058,914,avibase-98D10978,652,Passeriformes,Sylviidae,Sylvietta,ruficapilla,Sylviid Babblers,Crombec,Red-capped,,,,,
695,1832,915,avibase-89A3C105,676,Passeriformes,Cisticolidae,Cisticola,pipiens,Cisticolas and allies,Cisticola,Chirping,,,,,
1707,1853,916,avibase-0B870352,4145,Passeriformes,Cisticolidae,Oreophilais,robertsi,,Warbler,Roberts's,,,,,
1076,1389,917,avibase-0B2F8058,692,Passeriformes,Muscicapidae,Ficedula,albicollis,"Chats, Old World Flycatchers (320)",Flycatcher,Collared,,,,,
1357,1153,918,avibase-94A446EA,734,Passeriformes,Laniidae,Lanius,souzae,Shrikes,Shrike,Souza's,,,,,
1936,2477,919,avibase-6B5D78CE,809,Passeriformes,Ploceidae,Ploceus,olivaceiceps,"Weavers, Widowbirds",Weaver,Olive-headed,,,,,
1141,2320,920,avibase-3161DF72,849,Passeriformes,Estrildidae,Glaucestrilda,thomensis,"Waxbills, Munias and allies",Waxbill,Cinderella,,,,,
821,2612,921,avibase-238953D9,871,Passeriformes,Fringillidae,Crithagra,citrinipectus,,Canary,Lemon-breasted,,,,,
1960,724,922,avibase-2143A852,894,Charadriiformes,Charadriidae,Pluvialis,dominica,Plovers,Plover,American Golden,,,,,
504,328,923,avibase-B8D42059,379,Cuculiformes,Cuculidae,Cercococcyx,montanus,Cuckoos,Cuckoo,Barred Long-tailed,,,,,
2167,794,925,avibase-FB4D08F0,320,Charadriiformes,Laridae,Rissa,tridactyla,"Gulls, Terns and Skimmers",Kittiwake,Black-legged,,,,,
417,693,926,avibase-3A3C62BC,282,Charadriiformes,Scolopacidae,Calidris,subruficollis,,Sandpiper,Buff-breasted,,,,,
181,1764,927,avibase-F3D1150D,646,Passeriformes,Cisticolidae,Apalis,chirindensis,Cisticolas and allies,Apalis,Chirinda,,,,,
158,2278,928,avibase-B855F1E4,901,Passeriformes,Motacillidae,Anthus,hoeschi,"Wagtails, Pipits",Pipit,Mountain,,,,,
1806,683,929,avibase-667C6969,293,Charadriiformes,Scolopacidae,Phalaropus,tricolor,"Sandpipers, Snipes",Phalarope,Wilson's,,,,,
2257,796,930,avibase-1D446440,308,Charadriiformes,Laridae,Stercorarius,longicaudus,Skuas,Jaeger,Long-tailed,,,,,
1359,771,931,avibase-F002188E,314,Charadriiformes,Laridae,Larus,argentatus,"Gulls, Terns and Skimmers",Herring Gull,European,,,,,
1377,791,932,avibase-57C93A74,317,Charadriiformes,Laridae,Leucophaeus,pipixcan,"Gulls, Terns and Skimmers",Gull,Franklin's,,,,,
581,792,933,avibase-FB02DD96,319,Charadriiformes,Laridae,Chroicocephalus,ridibundus,"Gulls, Terns and Skimmers",Gull,Black-headed,,,,,
2127,1038,934,avibase-4A947BE7,0,Ciconiiformes,Spheniscidae,Pygoscelis,adeliae,Penguins,Penguin,Adelie,,,,,
2388,809,935,avibase-719935EF,323,Charadriiformes,Laridae,Thalasseus,maximus,,Tern,Royal,,,,,
1703,800,936,avibase-E6518B9D,333,Charadriiformes,Laridae,Onychoprion,anaethetus,,Tern,Bridled,,,,,
2267,815,937,avibase-9D6704AC,331,Charadriiformes,Laridae,Sterna,sumatrana,"Gulls, Terns and Skimmers",Tern,Black-naped,,,,,
2266,812,938,avibase-CF5C013D,336,Charadriiformes,Laridae,Sterna,repressa,"Gulls, Terns and Skimmers",Tern,White-cheeked,,,,,
127,761,939,avibase-03F9EB15,341,Charadriiformes,Laridae,Anous,tenuirostris,"Gulls, Terns and Skimmers",Noddy,Lesser,,,,,
729,532,940,avibase-533DD36C,348,Columbiformes,Columbidae,Columba,livia,"Pigeons, Doves",Dove,Rock,,,,,
2050,393,941,avibase-6B1CFC3C,366,Psittaciformes,Psittacidae,Psittacula,krameri,African & New World Parrots,Parakeet,Rose-ringed,,,,,
2350,431,942,avibase-2C7BA3A6,372,Musophagiformes,Musophagidae,Tauraco,rossae,Turacos,Turaco,Ross's,,,,,
2128,1039,943,avibase-75B943A3,0,Ciconiiformes,Spheniscidae,Pygoscelis,antarcticus,,Penguin,Chinstrap,,,,,
201,265,944,avibase-2F2CB724,0,Trogoniformes,Trogonidae,Apaloderma,vittatum,Trogons,Trogon,Bar-tailed,,,,,
2665,1676,945,avibase-9972FC86,0,Passeriformes,Pycnonotidae,Andropadus,importunus insularis,Bulbuls,Greenbul,Zanzibar Sombre ,,,,,
536,1340,946,avibase-4ACA4C5C,605,Passeriformes,Muscicapidae,Chamaetylas,fuelleborni,,Alethe,White-chested,,,,,
1864,2021,947,avibase-572C4C7F,0,Passeriformes,Sylviidae,Phylloscopus,sibilatrix,Sylviid Babblers,Warbler,Wood,,,,,
23,1904,949,avibase-0D42A253,629,Passeriformes,Sylviidae,Acrocephalus,griseldis,Sylviid Babblers,Warbler,Basra Reed,,,,,
202,1064,950,avibase-62797BD3,27,Ciconiiformes,Procellariidae,Aphrodroma,brevirostris,,Petrel,Kerguelen,,,,,
2088,1091,951,avibase-8116523B,0,Ciconiiformes,Procellariidae,Pterodroma,arminjoniana,"Petrels, Shearwaters",Petrel,Trindade,,,,,
1795,950,953,avibase-7EE005BD,0,Ciconiiformes,Phaethontidae,Phaethon,aethereus,Tropicbirds,Tropicbird,Red-billed,,,,,
2064,30,954,avibase-F5A73AAA,0,Galliformes,Phasianidae,Pternistis,hildebrandti,Pheasants and allies,Spurfowl,Hildebrandt's,,,,,
541,707,955,avibase-35EC3BBF,0,Charadriiformes,Charadriidae,Charadrius,dubius,Plovers,Plover,Little Ringed,,"Thinornis dubius, new Genus",,,
542,708,956,avibase-4EBB9A28,0,Charadriiformes,Charadriidae,Charadrius,forbesi,Plovers,Plover,Forbes's,,"Thinornis forbesi, new Genus",,,
1108,665,957,avibase-9151E0BA,0,Charadriiformes,Scolopacidae,Gallinago,gallinago,"Sandpipers, Snipes",Snipe,Common,,,,,
2129,1040,958,avibase-F2B3BF2A,0,Ciconiiformes,Spheniscidae,Pygoscelis,papua,Penguins,Penguin,Gentoo,,,,,
71,285,959,avibase-A376DE65,0,Coraciiformes,Alcedinidae,Alcedo,quadribrachys,Kingfishers,Kingfisher,Shining-blue,,,,,
1419,186,960,avibase-BCA0F974,0,Piciformes,Lybiidae,Lybius,leucocephalus,African Barbets,Barbet,White-headed,,,,,
239,1111,961,avibase-60825BF6,0,Ciconiiformes,Procellariidae,Ardenna,tenuirostris,,Shearwater,Short-tailed,,,,,
488,1626,962,avibase-3690F067,904,Passeriformes,Hirundinidae,Cecropis,daurica,"Swallows, Martins",Swallow,Red-rumped,split,Retire. Replace with #14853 Eastern Red-rumped Swallow,,,
1792,1637,963,avibase-D134B7F0,0,Passeriformes,Hirundinidae,Petrochelidon,rufigula,"Swallows, Martins",Swallow,Red-throated Cliff,,,,,
2034,1655,964,avibase-88AAE3D3,0,Passeriformes,Hirundinidae,Psalidoprocne,albiceps,"Swallows, Martins",Saw-wing,White-headed,,,,,
1834,1723,965,avibase-7CE29E0E,0,Passeriformes,Pycnonotidae,Phyllastrephus,cerviniventris,Bulbuls,Greenbul,Grey-olive,,,,,
1602,1443,966,avibase-B55BADC1,0,Passeriformes,Muscicapidae,Myrmecocichla,nigra,"Chats, Old World Flycatchers (320)",Chat,Sooty,,,,,
2460,1450,967,avibase-C740512D,0,Passeriformes,Turdidae,Turdus,eremita,Thrushes,Thrush,Tristan,,,,,
2711,2580,968,avibase-AED9D220,0,Passeriformes,Emberizidae,Nesospiza,acunhae,,Finch,Inaccessible Island ,,Retire. Its a duplicate. Use #4056 as BL do,,,
2300,2032,969,avibase-61F9065B,965,Passeriformes,Sylviidae,Curruca,atricapilla,Sylviid Babblers,Blackcap,Eurasian,,,,,
2268,816,970,avibase-754993F1,0,Charadriiformes,Laridae,Sterna,virgata,"Gulls, Terns and Skimmers",Tern,Kerguelen,,,,,
1024,2331,971,avibase-59E7ABE5,0,Passeriformes,Ploceidae,Euplectes,hartlaubi,"Weavers, Widowbirds",Widowbird,Marsh,,,,,
416,662,972,avibase-7D629288,275,Charadriiformes,Scolopacidae,Calidris,subminuta,"Sandpipers, Snipes",Stint,Long-toed,,,,,
820,2611,973,avibase-D419E3A5,977,Passeriformes,Fringillidae,Crithagra,citrinelloides,Finches,Citril,African,,,,,
108,71,974,,0,Anseriformes,Anatidae,Anas,erythroryncha/undulata,,Duck,Hybrid Red/Yellow-billed ,,,,,
558,700,975,avibase-7C15B681,0,Charadriiformes,Chionidae,Chionis,minor,Sheathbills,Sheathbill,Black-faced,,,,,
1355,1151,976,avibase-7E70D490,0,Passeriformes,Laniidae,Lanius,senator,Shrikes,Shrike,Woodchat,,,,,
2583,89,978,,4144,Anseriformes,Anatidae,Aythya,hybrid,,Pochard,Hybrid,,,,,
370,860,979,avibase-CC65921F,151,Falconiformes,Accipitridae,Buteo,rufinus,"Kites, Hawks and Eagles",Buzzard,Long-legged,,,,,
74,5,980,avibase-87CBEBF7,187,Galliformes,Phasianidae,Alectoris,chukar,Pheasants and allies,Partridge,Chukar,,,,,
407,670,981,avibase-0A14882F,283,Charadriiformes,Scolopacidae,Calidris,falcinellus,,Sandpiper,Broad-billed,,,,,
938,992,982,avibase-510E9BFA,70,Ciconiiformes,Ardeidae,Egretta,vinaceigula,"Herons, Bitterns",Egret,Slaty,,,,,
1009,1034,983,avibase-2C2BC004,5,Ciconiiformes,Spheniscidae,Eudyptes,chrysolophus,Penguins,Penguin,Macaroni,,,,,
1430,1066,984,avibase-F504C8DE,18,Ciconiiformes,Procellariidae,Macronectes,halli,"Petrels, Shearwaters",Giant Petrel,Northern,,,,,
418,663,985,avibase-5ACF7FB3,280,Charadriiformes,Scolopacidae,Calidris,temminckii,"Sandpipers, Snipes",Stint,Temminck's,,,,,
1778,1082,986,avibase-1838EC86,0,Procellariiformes,Pelecanoididae,Pelecanoides,georgicus,"Petrels, Shearwaters",Petrel,South Georgia Diving,,,,,
204,1032,987,avibase-827A77C7,2,Ciconiiformes,Spheniscidae,Aptenodytes,patagonicus,Penguins,Penguin,King,,,,,
2542,2544,988,avibase-0D1546EC,0,Passeriformes,Viduidae,Vidua,wilsoni,"Indigobirds, Whydahs",Indigobird,Wilson's,,,,,
767,1204,989,avibase-39868903,549,Passeriformes,Corvidae,Corvus,splendens,"Crows, Jays",Crow,House,,,,,
2258,763,990,avibase-7D1A9D5C,311,Charadriiformes,Laridae,Stercorarius,maccormicki,Skuas,Skua,South Polar,,,,,
1741,1075,991,avibase-FF7A685E,0,Ciconiiformes,Procellariidae,Pachyptila,crassirostris,"Petrels, Shearwaters",Prion,Fulmar,,,,,
1062,928,992,avibase-9EA1F12D,177,Falconiformes,Falconidae,Falco,eleonorae,"Caracaras, Falcons",Falcon,Eleonora's,,,,,
1746,1080,993,avibase-BB999943,0,Ciconiiformes,Procellariidae,Pagodroma,nivea,"Petrels, Shearwaters",Petrel,Snow,,,,,
354,1046,994,avibase-058773E4,22,Ciconiiformes,Procellariidae,Bulweria,bulwerii,"Petrels, Shearwaters",Petrel,Bulwer's,,,,,
2616,963,995,avibase-405403BD,0,Ciconiiformes,Phalacrocoracidae,Leucocarbo,atriceps,"Cormorants, Shags",Shag,Imperial,,,,,
2603,610,996,avibase-75F40338,0,Gruiformes,Rallidae,Gallinula,nesiotis †,"Rails, Crakes and Coots",Moorhen,Tristan,,,,,
409,656,997,avibase-153BA306,277,Charadriiformes,Scolopacidae,Calidris,fuscicollis,"Sandpipers, Snipes",Sandpiper,White-rumped,,,,,
